study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,requested_delta,observed_delta,rho_M_over_N,quota_mode,spatial_mode,treatment,structurally_feasible,mission_feasible,coverage,assigned_slot_count,missing_slot_count,idle_robot_count,idle_fraction,quota_asymmetry_cv,cost_asymmetry_cv,total_cost,mean_cost_per_assigned_slot,normalized_cost_per_assigned_slot,assignment_cost_p50,assignment_cost_p95,assignment_cost_max,assignment_cost_std,assignment_cost_cv,assignment_cost_gini,assignment_cost_jain,normalized_assignment_cost_p95,normalized_assignment_cost_max,load_mean_cost_cv,served_load_fraction,robot_utilization,greedy_total_cost,greedy_to_hungarian_ratio,hungarian_saving_vs_greedy,assignment_cost_lower_bound,relative_gap_to_lower_bound,slots_wall_ns,matrix_wall_ns,solver_wall_ns,post_wall_ns,total_wall_ns,total_cpu_ns,matrix_bytes,solver_ns_per_matrix_element,matrix_build_ns_per_element,failure_count,failure_rate,failed_robot_was_assigned,recovery_feasible,base_total_cost,relative_cost_increase,assignment_churn,logical_messages,communication_bytes,logical_messages_per_assigned_slot,communication_bytes_per_assigned_slot,communication_rounds,retry_messages,nonresponding_count,metrics_wall_ns
asymmetry,2067963031,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4954308874126173,371.4145029327856,9.28536257331964,0.06565742841370088,9.720366189577097,15.160848373367095,22.142826680299056,4.890304678535601,0.5266681446115304,0.29664358086545506,0.7828528088356911,0.10720338693348912,0.1565734290027787,0.3682991661368322,1.0,0.6666666666666666,415.24588690174477,1.1180120421331294,0.10555525136202142,207.63657083659191,0.4409572884283206,63500,89000,41200,68000,1038500,0,19200,17.166666666666668,37.083333333333336,0,0.0,False,True,nan,nan,nan,120,12779,3.0,319.475,2,0,0,566900
asymmetry,883889883,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.44996732449555454,562.0711515109147,14.051778787772866,0.09936108068567477,11.502116046709055,29.781260881182025,34.77137498811979,8.26958912544623,0.5885083483268324,0.3288089836562338,0.7427532852078692,0.21058531521369464,0.2458707504527981,0.4532547777725973,1.0,0.6666666666666666,611.314500944815,1.0876105263569005,0.08055321664673822,302.28839356212524,0.4621883853146745,62100,88300,37400,66600,962900,15625000,19200,15.583333333333334,36.791666666666664,0,0.0,False,True,nan,nan,nan,120,12774,3.0,319.35,2,0,0,476500
asymmetry,2706692093,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.48432565088507007,430.24203551511306,10.756050887877826,0.07605676521605996,9.273950748869314,21.212975252523066,23.995324912937754,5.855822101295482,0.5444211971788873,0.30854015101005405,0.7713701703688746,0.14999838650201475,0.16967256962712787,0.38069293616774064,1.0,0.6666666666666666,490.179757769818,1.1393116369555656,0.12227702450914125,240.3051477148697,0.44146520358671804,64200,85400,52500,67700,977200,0,19200,21.875,35.583333333333336,0,0.0,False,True,nan,nan,nan,120,12780,3.0,319.5,2,0,0,496700
asymmetry,3341897968,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4759860449268069,512.170191933771,12.804254798344274,0.09053975395949626,11.50980235635552,26.116378889213,26.56113781812598,7.0623510043489155,0.5515628293543604,0.3142216628719814,0.7667408933527072,0.18467068612599705,0.1878156066722734,0.4031187544933951,1.0,0.6666666666666666,578.8647310593724,1.1302194859755246,0.11521610412081014,276.9159500232751,0.4593282577071895,58500,78000,38400,59600,919000,0,19200,16.0,32.5,0,0.0,False,True,nan,nan,nan,120,12788,3.0,319.7,2,0,0,504600
asymmetry,409676424,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4779815399014123,464.9348744283401,11.623371860708502,0.0821896506295988,11.543317067438725,20.47940573125717,22.975733897203174,5.522899120457716,0.47515464416373493,0.2705261906281604,0.8158124449879371,0.14481126667242591,0.16246297241449986,0.23451652367653542,1.0,0.6666666666666666,547.5686258796145,1.177731884606154,0.15091031068212046,258.98623046192927,0.44296234869374906,66600,91600,31500,61100,990000,0,19200,13.125,38.166666666666664,0,0.0,False,True,nan,nan,nan,120,12791,3.0,319.775,2,0,0,476100
asymmetry,31328801,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.46019554033424526,559.6722600035888,13.99180650008972,0.09893701257263454,11.551109800317349,27.5313881142381,29.51900081289739,7.442958854296917,0.5319512426254029,0.30019867658980615,0.7794401615434811,0.19467631231056476,0.20873085648650952,0.3843011458814315,1.0,0.6666666666666666,651.9076469410873,1.1648024987640213,0.14148535819496796,279.3092998703057,0.5009413189988822,60700,75600,37500,75600,957800,0,19200,15.625,31.5,0,0.0,False,True,nan,nan,nan,120,12782,3.0,319.55,2,0,0,889000
asymmetry,1868593193,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.45970939200653044,577.2129586311185,14.430323965777962,0.1020377993092035,13.377082649890092,28.35999586676551,39.849885563642964,8.019096885251773,0.5557114936760502,0.30402099679239925,0.7640497687872232,0.2005354539181235,0.28178124311559843,0.3152071975249499,1.0,0.6666666666666666,658.2473053262697,1.140388994189124,0.12310623384167967,278.632738130131,0.5172791359519741,94800,105500,47800,77400,3489100,15625000,19200,19.916666666666668,43.958333333333336,0,0.0,False,True,nan,nan,nan,120,12788,3.0,319.7,2,0,0,492000
asymmetry,1129817405,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.46244255695394454,487.9108217633001,12.197770544082502,0.0862512626707826,11.579951988795052,23.451722237264583,32.72331084587235,6.999192264975917,0.5738091432103082,0.31553268679866786,0.7523000070946976,0.1658287182447314,0.23138875001991635,0.41402791217482143,1.0,0.6666666666666666,534.6614748244232,1.095818028573679,0.08743972637354411,247.66574706628938,0.4923954624100563,56200,88500,38900,63900,905300,0,19200,16.208333333333332,36.875,0,0.0,False,True,nan,nan,nan,120,12793,3.0,319.825,2,0,0,464300
asymmetry,1030683717,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4774169496042402,671.7773619208537,16.79443404802134,0.1187545820154613,12.839797276084262,42.261984586632,44.16907601721406,12.917160831996567,0.7691334399874236,0.42059618125491927,0.6283118914705187,0.29883735887608837,0.31232253170516167,0.7210277875041098,1.0,0.6666666666666666,727.62096467305,1.0831281402405692,0.07674820471574674,311.3185172653001,0.5365748610892034,57300,73600,38300,59900,952700,0,19200,15.958333333333334,30.666666666666668,0,0.0,False,True,nan,nan,nan,120,12775,3.0,319.375,2,0,0,466600
asymmetry,388461522,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.48459977308010743,486.4680331986013,12.161700829965032,0.08599621127630337,9.32366829657848,30.02014085356961,34.857054935732236,8.591233355097586,0.7064170937283522,0.38250133641299255,0.6671002327586919,0.21227445169734382,0.2464765991724828,0.49966408365071346,1.0,0.6666666666666666,534.370148620542,1.0984691945881355,0.08964219941102308,194.03262985629,0.6011400202794499,56300,73500,42100,60000,951000,0,19200,17.541666666666668,30.625,0,0.0,False,True,nan,nan,nan,120,12780,3.0,319.5,2,0,0,422400
asymmetry,2171369312,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4667070387964218,488.8854223627152,12.22213555906788,0.08642354934398133,11.774689784428123,22.848831292191022,26.37358079584236,6.195148064044919,0.5068793447842754,0.2872489689237925,0.7955913608433466,0.16156563548895655,0.18648937824911435,0.34986264081799134,1.0,0.6666666666666666,554.980691761786,1.1351958278478453,0.11909471875364065,281.6262654697432,0.42394219056751037,56800,73300,31000,59200,919300,0,19200,12.916666666666666,30.541666666666668,0,0.0,False,True,nan,nan,nan,120,12783,3.0,319.575,2,0,0,432700
asymmetry,1890303773,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.44805930746404954,727.2388075779892,18.18097018944973,0.12855887309510375,13.456314965569668,45.52392719881504,46.62162237164111,12.052550703989917,0.6629212070862925,0.3603459873117343,0.6947027741070848,0.3219027762852482,0.32966465328905875,0.5118030507451712,1.0,0.6666666666666666,879.5517675191682,1.2094400881169216,0.1731711146130573,325.0929696789177,0.552976317694577,113900,113600,87200,97600,1924500,0,19200,36.333333333333336,47.333333333333336,0,0.0,False,True,nan,nan,nan,120,12778,3.0,319.45,2,0,0,822000
asymmetry,870517341,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4743284107921031,489.2691186421972,12.23172796605493,0.08649137790426577,11.53106316310626,22.87579468162572,33.57369878918519,7.458835621252184,0.6097941061109017,0.342349880374063,0.7289432787389143,0.16175629544408704,0.23740190083347423,0.32886360946411836,1.0,0.6666666666666666,551.0411962502698,1.126253783969649,0.11210065241658837,227.9182460442708,0.5341658867071324,111000,112600,50800,94700,1759600,0,19200,21.166666666666668,46.916666666666664,0,0.0,False,True,nan,nan,nan,120,12788,3.0,319.7,2,0,0,806000
asymmetry,1691626429,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4933908208475364,424.8221687346365,10.620554218365912,0.0750986590776593,8.949383586779396,25.602142470809454,29.303625178875254,6.910544742643321,0.650676471355238,0.3514284587334926,0.7025531418653049,0.18103448554013477,0.20720792077331548,0.3234554411057699,1.0,0.6666666666666666,481.85285978773436,1.1342460334002058,0.11835706667429767,222.93055989867895,0.475237931761674,108000,108700,41600,92800,1647300,0,19200,17.333333333333332,45.291666666666664,0,0.0,False,True,nan,nan,nan,120,12774,3.0,319.35,2,0,0,806500
asymmetry,1382436356,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4701050833160809,518.5441487144697,12.96360371786174,0.09166652097515175,11.63520591831255,25.112953694034992,26.99835502545007,6.4311464529975835,0.49609249040346,0.2758350751682528,0.8024988150099044,0.17757539852675902,0.1909071991937765,0.27634506692984556,1.0,0.6666666666666666,609.6097164815988,1.1756177713949547,0.14938339285784324,291.19309688843686,0.4384410708127015,105900,105800,41900,91500,1662200,0,19200,17.458333333333332,44.083333333333336,0,0.0,False,True,nan,nan,nan,120,12790,3.0,319.75,2,0,0,780600
asymmetry,2985331967,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.4773325129343228,660.333119597532,16.5083279899383,0.1167315066773706,14.609968465988064,37.19545482188915,53.958722679540976,10.785263598799213,0.6533225899905036,0.34365968739919284,0.7008541417256317,0.26301158333875685,0.3815457871086778,0.4385679984273127,1.0,0.6666666666666666,757.478115566197,1.1471151349002062,0.12824792422689513,254.79764233822456,0.6141377211345664,107200,106200,47300,91000,1679300,0,19200,19.708333333333332,44.25,0,0.0,False,True,nan,nan,nan,120,12783,3.0,319.575,2,0,0,1500500
asymmetry,3992167700,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.44725835272389974,657.6551412307383,16.441378530768457,0.1162581025116129,15.330073193534044,35.71772332538355,41.7555116716495,9.243557335577194,0.5622130357426396,0.3112539885364696,0.7598302097509618,0.2525624437192363,0.2952560545493739,0.4279713892114692,1.0,0.6666666666666666,757.1466808605184,1.1512822350078358,0.13140325665392225,315.3522773328568,0.5204899079132791,121300,131700,49400,104600,2316400,15625000,19200,20.583333333333332,54.875,0,0.0,False,True,nan,nan,nan,120,12795,3.0,319.875,2,0,0,1093400
asymmetry,2772399216,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.47668575425533,509.27596038445074,12.731899009611269,0.09002812127078416,9.890429402730884,26.476736871105835,32.14047538952836,7.371559979885672,0.5789835416005817,0.32042354081246693,0.7489391605700157,0.18721880185250828,0.22726748098494845,0.30489340121779146,1.0,0.6666666666666666,560.0989699467386,1.099794636927142,0.09073933766941367,238.36887327358053,0.5319455622966442,121700,130700,43900,98600,1731900,0,19200,18.291666666666668,54.458333333333336,0,0.0,False,True,nan,nan,nan,120,12802,3.0,320.05,2,0,0,915000
asymmetry,2803036765,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.48066738495494243,561.9516591943701,14.048791479859252,0.09933995722884269,10.964028965481061,41.476283486841474,47.591595488019074,10.841639682896032,0.7717133319573368,0.3887287602792633,0.6267464812777905,0.29328161311961226,0.33652339897065386,0.6808606536091485,1.0,0.6666666666666666,669.0563013934699,1.1905940492330747,0.160083152906607,278.44492290729636,0.5045037800822887,116900,119400,55600,90900,1750800,0,19200,23.166666666666668,49.75,0,0.0,False,True,nan,nan,nan,120,12814,3.0,320.35,2,0,0,1032900
asymmetry,1580461976,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.48095723058705087,472.83404451404266,11.820851112851066,0.08358603981293536,11.044729199258827,23.815729047578824,26.78309046355863,6.343978854353962,0.5366769950648554,0.30086347493482046,0.776384135540855,0.16840263508444422,0.18938504887915059,0.3958512740376333,1.0,0.6666666666666666,532.6161402568657,1.126433568894694,0.11224236598235991,278.14210456421523,0.41175533405155496,120800,117900,50100,93600,1711800,0,19200,20.875,49.125,0,0.0,False,True,nan,nan,nan,120,12781,3.0,319.525,2,0,0,812200
asymmetry,3623360666,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.48717013911520474,455.07312117129203,11.3768280292823,0.080446322478987,11.460886757221411,18.066060582505013,22.629275620296713,4.658339805436535,0.4094585761028159,0.23276637054950133,0.8564163770825161,0.12774633947216282,0.16001314244451223,0.16225346937835888,1.0,0.6666666666666666,515.6789483314901,1.1331782176108478,0.1175262774567235,235.08872886119994,0.4834044949609071,115200,120800,46400,97300,1701900,0,19200,19.333333333333332,50.333333333333336,0,0.0,False,True,nan,nan,nan,120,12792,3.0,319.8,2,0,0,863000
asymmetry,1100927822,60,60,13,40,100,2400,0.2,0.2,0.6666666666666666,symmetric,uniform,none,True,True,1.0,40,0,20,0.3333333333333333,0.08660254037844385,0.476798062154694,531.8228231657527,13.295570579143817,0.09401388116256945,10.400047418365972,24.715516487411755,30.100649062613357,7.963151667998605,0.5989326761568288,0.3388502568506788,0.73598662122171,0.1747650930877677,0.212843730702904,0.40648435795678006,1.0,0.6666666666666666,613.2951927458148,1.1531945716340002,0.132843646165394,261.5140808034263,0.5082684130652279,112600,119000,59900,97600,1781000,0,19200,24.958333333333332,49.583333333333336,0,0.0,False,True,nan,nan,nan,120,12786,3.0,319.65,2,0,0,823800
