study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,requested_delta,observed_delta,rho_M_over_N,quota_mode,spatial_mode,treatment,structurally_feasible,mission_feasible,coverage,assigned_slot_count,missing_slot_count,idle_robot_count,idle_fraction,quota_asymmetry_cv,cost_asymmetry_cv,total_cost,mean_cost_per_assigned_slot,normalized_cost_per_assigned_slot,assignment_cost_p50,assignment_cost_p95,assignment_cost_max,assignment_cost_std,assignment_cost_cv,assignment_cost_gini,assignment_cost_jain,normalized_assignment_cost_p95,normalized_assignment_cost_max,load_mean_cost_cv,served_load_fraction,robot_utilization,greedy_total_cost,greedy_to_hungarian_ratio,hungarian_saving_vs_greedy,assignment_cost_lower_bound,relative_gap_to_lower_bound,slots_wall_ns,matrix_wall_ns,solver_wall_ns,post_wall_ns,total_wall_ns,total_cpu_ns,matrix_bytes,solver_ns_per_matrix_element,matrix_build_ns_per_element,failure_count,failure_rate,failed_robot_was_assigned,recovery_feasible,base_total_cost,relative_cost_increase,assignment_churn,logical_messages,communication_bytes,logical_messages_per_assigned_slot,communication_bytes_per_assigned_slot,communication_rounds,retry_messages,nonresponding_count,metrics_wall_ns
balance,662676084,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.2948218036484818,50.30832119858836,50.30832119858836,0.35573355069632767,50.30832119858836,50.30832119858836,50.30832119858836,0.0,0.0,0.0,1.0,0.35573355069632767,0.35573355069632767,0.0,0.14285714285714285,1.0,50.30832119858836,1.0,0.0,50.30832119858836,0.0,77100,52100,8900,29800,263300,0,160,445.0,2605.0,0,0.0,False,False,nan,nan,nan,2,211,2.0,211.0,2,0,0,623600
balance,4238918100,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.4189596149275248,15.910796719955444,15.910796719955444,0.11250632254761171,15.910796719955444,15.910796719955444,15.910796719955444,0.0,0.0,0.0,1.0,0.11250632254761171,0.11250632254761171,0.0,0.14285714285714285,1.0,15.910796719955444,1.0,0.0,15.910796719955444,0.0,91600,39200,6700,22500,223800,0,160,335.0,1960.0,0,0.0,False,False,nan,nan,nan,2,211,2.0,211.0,2,0,0,486500
balance,3317070656,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.25371618299816906,31.501000935611383,31.501000935611383,0.22274571375734586,31.501000935611383,31.501000935611383,31.501000935611383,0.0,0.0,0.0,1.0,0.22274571375734586,0.22274571375734586,0.0,0.14285714285714285,1.0,31.501000935611383,1.0,0.0,31.501000935611383,0.0,59900,29400,4200,18100,158300,0,160,210.0,1470.0,0,0.0,False,False,nan,nan,nan,2,214,2.0,214.0,2,0,0,489000
balance,1500217786,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.36026081849939967,23.079090089064273,23.079090089064273,0.16319381105592587,23.079090089064273,23.079090089064273,23.079090089064273,0.0,0.0,0.0,1.0,0.16319381105592587,0.16319381105592587,0.0,0.14285714285714285,1.0,23.079090089064273,1.0,0.0,23.079090089064273,0.0,57300,26400,3900,16800,147800,0,160,195.0,1320.0,0,0.0,False,False,nan,nan,nan,2,213,2.0,213.0,2,0,0,446800
balance,92462928,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.5597463768791022,3.3017782966489824,3.3017782966489824,0.023347098235350635,3.3017782966489824,3.3017782966489824,3.3017782966489824,0.0,0.0,0.0,1.0,0.023347098235350635,0.023347098235350635,0.0,0.14285714285714285,1.0,3.3017782966489824,1.0,0.0,3.3017782966489824,0.0,57000,26500,3500,16900,147100,0,160,175.0,1325.0,0,0.0,False,False,nan,nan,nan,2,212,2.0,212.0,2,0,0,420100
balance,1270324854,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915893,0.3198565088551322,27.9116992347847,27.9116992347847,0.1973655180335563,27.9116992347847,27.9116992347847,27.9116992347847,0.0,0.0,0.0,1.0,0.1973655180335563,0.1973655180335563,0.0,0.14285714285714285,1.0,27.9116992347847,1.0,0.0,27.9116992347847,0.0,56500,25500,3800,16900,145000,0,160,190.0,1275.0,0,0.0,False,False,nan,nan,nan,2,211,2.0,211.0,2,0,0,628800
balance,3268058842,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.4111529116318198,22.923179700839636,22.923179700839636,0.1620913581282152,22.923179700839636,22.923179700839636,22.923179700839636,0.0,0.0,0.0,1.0,0.1620913581282152,0.1620913581282152,0.0,0.14285714285714285,1.0,22.923179700839636,1.0,0.0,22.923179700839636,0.0,52900,32800,5500,21300,162800,0,160,275.0,1640.0,0,0.0,False,False,nan,nan,nan,2,213,2.0,213.0,2,0,0,461000
balance,985739360,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.32388379947174983,27.362020610503595,27.362020610503595,0.19347870320653168,27.362020610503595,27.362020610503595,27.362020610503595,0.0,0.0,0.0,1.0,0.19347870320653168,0.19347870320653168,0.0,0.14285714285714285,1.0,27.362020610503595,1.0,0.0,27.362020610503595,0.0,59000,39700,5600,25000,188400,0,160,280.0,1985.0,0,0.0,False,False,nan,nan,nan,2,212,2.0,212.0,2,0,0,571100
balance,2467424229,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.3701628277416304,15.188973263661941,15.188973263661941,0.10740225993996524,15.188973263661941,15.188973263661941,15.188973263661941,0.0,0.0,0.0,1.0,0.10740225993996524,0.10740225993996524,0.0,0.14285714285714285,1.0,15.188973263661941,1.0,0.0,15.188973263661941,0.0,68700,34300,5200,21900,182900,0,160,260.0,1715.0,0,0.0,False,False,nan,nan,nan,2,212,2.0,212.0,2,0,0,470600
balance,2248507155,1,1,7,20,21,20,-0.95,-0.9047619047619048,20.0,symmetric,uniform,none,False,False,0.05,1,19,0,0.0,0.12247448713915891,0.4993822591107407,11.458019050307039,11.458019050307039,0.08102042969436753,11.458019050307039,11.458019050307039,11.458019050307039,0.0,0.0,0.0,1.0,0.08102042969436753,0.08102042969436753,0.0,0.14285714285714285,1.0,11.458019050307039,1.0,0.0,11.458019050307039,0.0,32800,23300,3800,13900,114500,0,160,190.0,1165.0,0,0.0,False,False,nan,nan,nan,2,211,2.0,211.0,2,0,0,293300
