requested_delta,empirical_exponent_p,log_intercept,r_squared,size_points,min_size_N_plus_M,max_size_N_plus_M
-0.4,1.3316892055848153,4.0492836725944,0.9709823499532331,13,14.0,914.0
-0.33,1.3979013450931417,3.8458104248972904,0.9788471789519131,13,15.0,962.0
-0.27,1.4331888632724834,3.787918828385935,0.9857642927825435,13,16.0,1008.0
-0.2,1.5119413568123685,3.584486201749619,0.9845049799447705,13,17.0,1067.0
-0.13,1.6343696586694116,3.2604996889752673,0.9903449406456184,13,18.0,1133.0
-0.07,1.7215697696605234,3.093061452458545,0.9935095549016074,13,19.0,1196.0
0.0,1.988637376950181,2.2044459652263746,0.9951876282070785,13,20.0,1280.0
0.07,1.875118998520839,2.6672836793262023,0.9954908614813801,13,22.0,1376.0
0.13,1.8347951928104629,2.6630769997522714,0.9964752654377855,13,23.0,1471.0
0.2,1.7973638571335133,2.673480162433455,0.9929617555352055,13,25.0,1600.0
0.27,1.7528275664334427,2.7350445324291512,0.991212558781467,13,27.0,1753.0
0.33,1.767079174453541,2.516660664237939,0.9916632168071509,13,30.0,1910.0
0.4,1.7941622223543021,2.209113221076792,0.9894933207938413,13,33.0,2133.0
