study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,rho_M_over_N,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,quota_asymmetry_cv,distance_matrix_asymmetry_cv,structurally_feasible,milp_feasible,mission_feasible,milp_complete_load_fraction,milp_missing_load_count,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_idle_fraction,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_assignment_distance_p50,milp_assignment_distance_p95,milp_assignment_distance_max,milp_assignment_distance_std,milp_assignment_distance_cv,milp_assignment_distance_gini,milp_assignment_distance_jain,milp_normalized_assignment_distance_max,milp_load_mean_distance_cv,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,milp_matrix_wall_ns,milp_model_wall_ns,milp_post_wall_ns,milp_solver_ns_per_binary_variable,hungarian_feasible,hungarian_coverage,hungarian_assigned_robot_count,hungarian_total_distance,hungarian_mean_distance_per_slot,hungarian_normalized_distance_p95,hungarian_solver_wall_ns,hungarian_total_wall_ns,hungarian_matrix_bytes,both_feasible,same_capacity_model,milp_to_hungarian_distance_ratio,milp_minus_hungarian_assigned_robots,milp_to_hungarian_solver_ratio,base_milp_total_distance,relative_distance_increase,assignment_churn,failure_rate,recovery_feasible,central_logical_messages,central_communication_bytes,central_communication_rounds,retry_messages,nonresponding_count
failures,632208692,20,20,7,20,40,140,1.0,0.0,0.0,0.09456288059506829,moderate,uniform,homogeneous,no_failure,0,False,100.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,0.4584964039638897,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,0,1.0,0.0,422.58965701135514,21.129482850567758,0.14940800606601323,21.129482850567758,0.3047270026655837,18.604689661335165,43.09490599909708,45.63887627997547,12.286176036867529,0.5814707403753328,0.32983839207236687,0.7473237094161492,0.32271558903304526,0.24474752539742112,17.278656579996284,426.9293211563542,6384,140,34,3670800,4427800,0,36500,512500,161600,26220.0,True,1.0,20,422.58965701135514,21.129482850567758,0.3047270026655837,15300,683000,3200,True,True,1.0,0,239.92156862745097,422.58965701135514,0.0,0.0,0.0,True,40,2734,2,0,0
failures,4219643601,19,20,7,20,39,133,1.0526315789473684,0.0,-0.02564102564102564,0.06908937521915127,moderate,uniform,homogeneous,random_assigned_failure,1,True,95.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,nan,True,False,False,0.0,7,False,-1,El MILP no encontró una coalición factible. status=2; message=The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),nan,0,0,19,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,133,33,nan,nan,nan,nan,nan,nan,nan,False,0.95,19,381.7494355775577,20.092075556713564,0.3085700907146608,10900,376700,3040,False,True,nan,nan,nan,422.58965701135514,nan,nan,0.05,False,22,1925,2,3,1
failures,219059180,19,20,7,20,39,133,1.0526315789473684,0.0,-0.02564102564102564,0.06908937521915127,moderate,uniform,homogeneous,critical_assigned_failure,1,True,95.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,nan,True,False,False,0.0,7,False,-1,El MILP no encontró una coalición factible. status=2; message=The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),nan,0,0,19,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,133,33,nan,nan,nan,nan,nan,nan,nan,False,0.95,19,363.00726312468737,19.105645427615126,0.24099266762940594,12800,561700,3040,False,True,nan,nan,nan,422.58965701135514,nan,nan,0.05,False,22,1926,2,3,1
failures,4290636132,19,20,7,20,39,133,1.0526315789473684,0.0,-0.02564102564102564,0.06908937521915127,moderate,uniform,homogeneous,random_5_percent,1,True,95.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,nan,True,False,False,0.0,7,False,-1,El MILP no encontró una coalición factible. status=2; message=The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),nan,0,0,19,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,133,33,nan,nan,nan,nan,nan,nan,nan,False,0.95,19,396.36477882329734,20.8613041485946,0.3085700907146608,13500,524000,3040,False,True,nan,nan,nan,422.58965701135514,nan,nan,0.05,False,22,1927,2,3,1
failures,2663167619,18,20,7,20,38,126,1.1111111111111112,0.0,-0.05263157894736842,0.04214103732563547,moderate,uniform,homogeneous,random_10_percent,2,True,90.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,nan,True,False,False,0.0,7,False,-1,El MILP no encontró una coalición factible. status=2; message=The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),nan,0,0,18,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,126,32,nan,nan,nan,nan,nan,nan,nan,False,0.9,18,389.6642503453343,21.64801390807413,0.31096501859097475,18200,1349300,2880,False,True,nan,nan,nan,422.58965701135514,nan,nan,0.1,False,24,1880,2,6,2
failures,1820716673,16,20,7,20,36,112,1.25,0.0,-0.1111111111111111,-0.016723948824461207,moderate,uniform,homogeneous,random_20_percent,4,True,80.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,nan,False,False,False,0.0,7,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=80.000, demanda=82.721.",nan,0,0,16,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,112,30,nan,nan,nan,nan,nan,nan,nan,False,0.8,16,307.58654085299037,19.224158803311898,0.25145726218484393,11600,571300,2560,False,True,nan,nan,nan,422.58965701135514,nan,nan,0.2,False,28,1780,2,12,4
failures,3291530448,14,20,7,20,34,98,1.4285714285714286,0.0,-0.17647058823529413,-0.08329774434355489,moderate,uniform,homogeneous,random_30_percent,6,True,70.0,82.72134342000372,5.0,0.0,0.0,5.0,5.0,0.22360679774997894,0.22360679774997894,nan,False,False,False,0.0,7,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=70.000, demanda=82.721.",nan,0,0,14,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,98,28,nan,nan,nan,nan,nan,nan,nan,False,0.7,14,269.7661559088912,19.269011136349373,0.2650610324799901,9700,475700,2240,False,True,nan,nan,nan,422.58965701135514,nan,nan,0.3,False,32,1687,2,18,6
failures,2331279678,20,20,7,20,40,140,1.0,0.0,0.0,0.07108089944488158,moderate,uniform,homogeneous,no_failure,0,False,100.0,86.72725851395141,5.0,0.0,0.0,5.0,5.0,0.5431390245600107,0.5431390245600107,0.4460974847770799,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,0,1.0,0.0,880.5164365150267,44.025821825751336,0.3113095716029948,44.025821825751336,0.5918649261216076,40.83647479361686,83.70234056141274,97.60017294500022,20.645196037617744,0.4689338025154608,0.2502268789542885,0.8197400545789301,0.6901374413438947,0.2984686499108724,13.272741486048584,883.8546218865389,6384,140,34,3130400,3865500,0,34600,543500,107400,22360.0,True,1.0,20,880.5164365150267,44.025821825751336,0.5918649261216076,22300,680600,3200,True,True,1.0,0,140.37668161434976,880.5164365150267,0.0,0.0,0.0,True,40,2733,2,0,0
failures,3514685491,19,20,7,20,39,133,1.0526315789473684,0.0,-0.02564102564102564,0.04552284315351337,moderate,uniform,homogeneous,random_assigned_failure,1,True,95.0,86.72725851395141,5.0,0.0,0.0,5.0,5.0,0.5431390245600107,0.5431390245600107,nan,True,False,False,0.0,7,False,-1,El MILP no encontró una coalición factible. status=2; message=The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),nan,0,0,19,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,133,33,nan,nan,nan,nan,nan,nan,nan,False,0.95,19,792.460391989931,41.70844168368058,0.45793781038196313,15300,382200,3040,False,True,nan,nan,nan,880.5164365150267,nan,nan,0.05,False,22,1925,2,3,1
failures,3952416933,19,20,7,20,39,133,1.0526315789473684,0.0,-0.02564102564102564,0.04552284315351337,moderate,uniform,homogeneous,critical_assigned_failure,1,True,95.0,86.72725851395141,5.0,0.0,0.0,5.0,5.0,0.5431390245600107,0.5431390245600107,nan,True,False,False,0.0,7,False,-1,El MILP no encontró una coalición factible. status=2; message=The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),nan,0,0,19,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,133,33,nan,nan,nan,nan,nan,nan,nan,False,0.95,19,777.8310947440496,40.93847867073945,0.4475933350954069,13000,357400,3040,False,True,nan,nan,nan,880.5164365150267,nan,nan,0.05,False,22,1923,2,3,1
