M,requested_delta,treatment,replicates,milp_feasibility_rate,hungarian_feasibility_rate,feasibility_disagreements,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,milp_minus_hungarian_assigned_robots_median,milp_minus_hungarian_assigned_robots_p05,milp_minus_hungarian_assigned_robots_p95
20,0.0,critical_assigned_failure,2,0.0,0.0,0,nan,nan,nan,570.4191789343685,383.7484547056555,757.0899031630814,nan,nan,nan,12900.0,12810.0,12990.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.0,no_failure,2,1.0,1.0,0,651.5530467631909,445.48599598653874,857.6200975398431,651.5530467631909,445.48599598653874,857.6200975398431,3400600.0,3157420.0,3643780.0,18800.0,15650.0,21950.0,1.0,1.0,1.0,190.14912512090035,145.35392596500483,234.9443242767959,0.0,0.0,0.0
20,0.0,random_10_percent,2,0.0,0.0,0,nan,nan,nan,590.3953863457845,409.73736394537934,771.0534087461896,nan,nan,nan,15000.0,12120.0,17880.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.0,random_20_percent,2,0.0,0.0,0,nan,nan,nan,475.5964177429038,324.38752854198174,626.8053069438259,nan,nan,nan,12200.0,11660.0,12740.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.0,random_30_percent,2,0.0,0.0,0,nan,nan,nan,387.304158809329,281.519956198935,493.08836141972296,nan,nan,nan,9350.0,9035.0,9665.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.0,random_5_percent,2,0.0,0.0,0,nan,nan,nan,612.5239053832724,417.9806914792949,807.0671192872501,nan,nan,nan,14450.0,13595.0,15305.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.0,random_assigned_failure,2,0.0,0.0,0,nan,nan,nan,587.1049137837443,402.28498339817634,771.9248441693123,nan,nan,nan,13100.0,11120.0,15080.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.2,critical_assigned_failure,2,1.0,1.0,0,412.78085103934126,400.2293409203717,425.3323611583108,412.78085103934126,400.2293409203717,425.3323611583108,3891250.0,3691675.0,4090825.0,38600.0,31220.0,45980.0,1.0,1.0,1.0,106.85208614484931,81.25251630679263,132.451655982906,0.0,0.0,0.0
20,0.2,idle_robot_failure,2,1.0,1.0,0,410.65745049263353,397.7129363618694,423.6019646233976,410.65745049263353,397.7129363618694,423.6019646233976,4500450.0,4230585.0,4770315.0,24000.0,20400.0,27600.0,1.0,1.0,1.0,190.73464285714286,173.36882142857144,208.10046428571428,0.0,0.0,0.0
20,0.2,no_failure,2,1.0,1.0,0,410.65745049263353,397.7129363618694,423.6019646233976,410.65745049263353,397.7129363618694,423.6019646233976,4448450.0,4423655.0,4473245.0,27700.0,25630.0,29770.0,1.0,1.0,1.0,161.6255905511811,150.4425590551181,172.80862204724409,0.0,0.0,0.0
20,0.2,random_10_percent,2,1.0,1.0,0,461.15584576399624,442.4607453224758,479.85094620551666,461.15584576399624,442.4607453224758,479.85094620551666,3656850.0,2524785.0,4788915.0,23900.0,17600.0,30200.0,1.0,1.0,1.0,150.50222132858428,142.80761858256255,158.19682407460598,0.0,0.0,0.0
20,0.2,random_20_percent,2,1.0,1.0,0,487.49676209681604,453.80960022592035,521.1839239677117,487.49676209681604,453.80960022592035,521.1839239677117,2187100.0,2179720.0,2194480.0,16050.0,15645.0,16455.0,1.0,1.0,1.0,136.3607808857809,133.37971445221447,139.34184731934732,0.0,0.0,0.0
20,0.2,random_30_percent,2,1.0,1.0,0,579.0281071688253,553.5810627161193,604.4751516215312,579.0281071688253,553.5810627161193,604.4751516215312,4069500.0,4030710.0,4108290.0,15300.0,14850.0,15750.0,1.0,1.0,1.0,266.1725966472802,260.8792849811837,271.4659083133767,0.0,0.0,0.0
20,0.2,random_5_percent,2,1.0,1.0,0,437.2559039517803,427.056245690176,447.4555622133846,437.2559039517803,427.056245690176,447.4555622133846,3386100.0,2494020.0,4278180.0,20600.0,16820.0,24380.0,1.0,1.0,1.0,161.26726003147127,147.55416502753738,174.98035503540518,0.0,0.0,0.0
20,0.2,random_assigned_failure,2,1.0,1.0,0,424.3077448710295,407.93507017713546,440.6804195649235,424.3077448710295,407.93507017713546,440.6804195649235,4421650.0,4407835.0,4435465.0,26750.0,24905.0,28595.0,1.0,1.0,1.0,166.22760627530363,155.27901062753037,177.17620192307692,0.0,0.0,0.0
20,0.33,critical_assigned_failure,2,1.0,1.0,0,284.3821168975944,252.1976587781803,316.5665750170085,284.3821168975944,252.1976587781803,316.5665750170085,4690500.0,4633260.0,4747740.0,17900.0,16190.0,19610.0,1.0,1.0,1.0,265.4065340909091,236.85428977272727,293.95877840909094,0.0,0.0,0.0
20,0.33,idle_robot_failure,2,1.0,1.0,0,281.34805954004906,249.9296253644998,312.76649371559836,281.34805954004906,249.9296253644998,312.76649371559836,3836000.0,3046970.0,4625030.0,15000.0,14370.0,15630.0,1.0,1.0,1.0,253.55801523317447,211.6054518729678,295.5105785933811,0.0,0.0,0.0
20,0.33,no_failure,2,1.0,1.0,0,281.34805954004906,249.9296253644998,312.76649371559836,281.34805954004906,249.9296253644998,312.76649371559836,3840450.0,3070995.0,4609905.0,19100.0,16310.0,21890.0,1.0,1.0,1.0,213.972240990991,142.43100788288288,285.5134740990991,0.0,0.0,0.0
20,0.33,random_10_percent,2,1.0,1.0,0,298.2113909828797,277.88817568916534,318.53460627659416,298.2113909828797,277.88817568916534,318.53460627659416,3973500.0,3857040.0,4089960.0,16750.0,14185.0,19315.0,1.0,1.0,1.0,242.9427947437968,212.69274886213478,273.1928406254588,0.0,0.0,0.0
20,0.33,random_20_percent,2,1.0,1.0,0,318.3565426493531,310.2292073415013,326.4838779572049,318.3565426493531,310.2292073415013,326.4838779572049,4462250.0,4215695.0,4708805.0,21550.0,21235.0,21865.0,1.0,1.0,1.0,206.9130804686827,198.49649672611355,215.32966421125184,0.0,0.0,0.0
20,0.33,random_30_percent,2,1.0,1.0,0,339.50164715868266,313.50676622468643,365.49652809267883,339.50164715868266,313.50676622468643,365.49652809267883,3657400.0,3494230.0,3820570.0,19400.0,17870.0,20930.0,1.0,1.0,1.0,190.8098910220366,167.35065734864915,214.269124695424,0.0,0.0,0.0
20,0.33,random_5_percent,2,1.0,1.0,0,289.4547727292038,265.3323804238937,313.5771650345138,289.4547727292038,265.3323804238937,313.5771650345138,4058950.0,3737965.0,4379935.0,22500.0,20610.0,24390.0,1.0,1.0,1.0,183.47549019607843,153.79754901960786,213.153431372549,0.0,0.0,0.0
20,0.33,random_assigned_failure,2,1.0,1.0,0,286.55694354845775,259.5980666917238,313.5158204051917,286.55694354845775,259.5980666917238,313.5158204051917,3814500.0,3188820.0,4440180.0,18400.0,15700.0,21100.0,1.0,1.0,1.0,206.64279645588056,202.9610328923413,210.32456001941983,0.0,0.0,0.0
