study,seed,N,N_original,K,M,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,milp_feasible,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,base_milp_total_distance,relative_distance_increase,assignment_churn,central_logical_messages,central_communication_bytes,retry_messages
scaling,612757153,4,4,3,10,-0.4,-0.42857142857142855,-0.3694810779049949,symmetric,uniform,moderate,none,0,False,20.0,43.439809018091445,5.0,0.8185348438546066,0.16370696877092134,3.6127544017923237,5.700014472046779,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=43.440.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,447,0
scaling,2569144697,4,4,3,10,-0.4,-0.42857142857142855,-0.4004422341642699,symmetric,uniform,moderate,none,0,False,20.0,46.715840039605794,5.0,1.7145734530234988,0.34291469060469976,2.9244755800966176,7.007266199763582,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=46.716.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,452,0
scaling,2409520928,4,4,3,10,-0.4,-0.42857142857142855,-0.31916204791401276,symmetric,uniform,moderate,none,0,False,20.0,38.75113142186902,5.0,1.3020543131252162,0.26041086262504326,3.3171576934453233,6.522360505662702,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=38.751.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,452,0
scaling,155533046,4,4,3,10,-0.4,-0.42857142857142855,-0.3642564000022458,symmetric,uniform,moderate,none,0,False,20.0,42.918446996778734,5.0,1.1984266869950149,0.23968533739900297,3.5991391819329466,6.895173788950897,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.918.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,451,0
scaling,3990538031,4,4,3,10,-0.4,-0.42857142857142855,-0.36253214168879955,symmetric,uniform,moderate,none,0,False,20.0,42.748261702118185,5.0,0.9876696037084071,0.1975339207416814,3.6946345200496036,6.398363976125178,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.748.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,452,0
scaling,1020075116,4,4,3,10,-0.4,-0.42857142857142855,-0.37794983236674246,symmetric,uniform,moderate,none,0,False,20.0,44.30349525053552,5.0,0.8512097439262211,0.1702419487852442,4.346409888464498,6.454265140787872,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=44.303.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,447,0
scaling,523148818,4,4,3,10,-0.4,-0.42857142857142855,-0.37723401944238893,symmetric,uniform,moderate,none,0,False,20.0,44.229584223892374,5.0,0.3854724404626765,0.0770944880925353,4.40702606595934,5.486911636865451,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=44.230.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,449,0
scaling,3652199492,4,4,3,10,-0.4,-0.42857142857142855,-0.3644835349224061,symmetric,uniform,moderate,none,0,False,20.0,42.940934181958866,4.999999999999999,1.5073396218455288,0.3014679243691058,3.278812945087801,7.407883126701176,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.941.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,450,0
scaling,447399933,4,4,3,10,-0.4,-0.42857142857142855,-0.3565426008011844,symmetric,uniform,moderate,none,0,False,20.0,42.164177534992945,5.0,1.4999688309129173,0.29999376618258344,3.2374184704077087,6.964812517209041,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.164.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,452,0
scaling,1647039047,4,4,3,10,-0.4,-0.42857142857142855,-0.3747628051980155,symmetric,uniform,moderate,none,0,False,20.0,43.97572046664336,5.000000000000001,1.0491036051909017,0.2098207210381803,4.1364080117313895,6.786767653363022,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=43.976.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,nan,nan,nan,4,449,0
scaling,810203787,5,5,3,10,-0.33,-0.3333333333333333,-0.20206531773399267,symmetric,uniform,moderate,none,0,False,25.0,37.66177058253436,5.0,2.1269275755433243,0.42538551510866485,2.080654171693696,7.558389457348844,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=37.662.",nan,0,0,5,0.0,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,5,563,0
scaling,3631318694,5,5,3,10,-0.33,-0.3333333333333333,-0.25605928347961193,symmetric,uniform,moderate,none,0,False,24.999999999999996,42.20965648158568,5.0,1.4273542574409057,0.28547085148818113,2.5582270717869364,7.016987499585592,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=42.210.",nan,0,0,5,0.0,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,5,564,0
scaling,2087282751,5,5,3,10,-0.33,-0.3333333333333333,-0.3017239635629558,symmetric,uniform,moderate,none,0,False,24.999999999999996,46.60492039097484,5.0,0.9193061384069682,0.18386122768139362,3.663011464692053,6.092501414798074,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=46.605.",nan,0,0,5,0.0,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,5,558,0
scaling,2879130062,5,5,3,10,-0.33,-0.3333333333333333,-0.27631078455311764,symmetric,uniform,moderate,none,0,False,25.0,44.090431269069974,5.0,0.9572641129307254,0.1914528225861451,3.7882408341241205,6.722993539966594,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=44.090.",nan,0,0,5,0.0,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,5,563,0
scaling,2993006858,5,5,3,10,-0.33,-0.3333333333333333,-0.22441501955822163,symmetric,uniform,moderate,none,0,False,25.0,39.46746811873493,5.0,1.4677478190240638,0.2935495638048128,3.699935395224283,7.46031726997314,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=39.467.",nan,0,0,5,0.0,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,5,555,0
scaling,28130411,5,5,3,10,-0.33,-0.3333333333333333,-0.2145067882108781,symmetric,uniform,moderate,none,0,False,25.0,38.65427383658064,5.0,1.6835540093441592,0.33671080186883184,2.660446241371587,7.564640017961096,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=25.000, demanda=38.654.",nan,0,0,5,0.0,nan,nan,nan,nan,nan,nan,nan,0,15,11,nan,nan,nan,nan,nan,nan,5,565,0
