study,seed,N,N_original,K,M,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,milp_feasible,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,base_milp_total_distance,relative_distance_increase,assignment_churn,central_logical_messages,central_communication_bytes,retry_messages
asymmetry,2067963031,60,60,13,40,0.2,0.2,0.26816711115592534,symmetric,uniform,moderate,none,0,False,300.0,173.12376635686778,5.0,1.5940509507418301,0.31881019014836603,2.290314662668125,8.964534455904039,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,35,25,0.5833333333333334,374.31881688316986,10.69482333951914,0.07562382106966141,9.357970422079246,0.12989729622061832,12.838316690207884,377.56339605572185,34824,780,86,436090200,438094900,500000000,nan,nan,nan,95,8123,0
asymmetry,883889883,60,60,13,40,0.2,0.2,0.2698562578429544,symmetric,uniform,moderate,none,0,False,299.99999999999994,172.4944231240723,5.0,2.4440512899691296,0.48881025799382594,1.9452239943872658,16.336279904921533,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,32,28,0.5333333333333333,410.46864826540326,12.827145258293852,0.09070161395404451,10.261716206635082,0.20288603135970795,14.842686009360538,414.21131976774336,34824,780,86,453742500,455643400,468750000,nan,nan,nan,92,8002,0
asymmetry,2706692093,60,60,13,40,0.2,0.2,0.2872202071271186,symmetric,uniform,moderate,none,0,False,300.0,166.12071242970114,5.0,1.9324892425240603,0.38649784850481206,2.1235217034737954,11.134897873917545,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,5,31,29,0.5166666666666667,353.46449888407994,11.40208060916387,0.08062488518375413,8.836612472101999,0.1604576206229598,15.14973719254137,357.2829331822153,34824,780,86,805554200,807321800,1000000000,nan,nan,nan,91,7981,0
asymmetry,3341897968,60,60,13,40,0.2,0.2,0.277168322318489,symmetric,uniform,moderate,none,0,False,300.00000000000006,169.7892905069856,5.0,2.1859819508121325,0.4371963901624265,1.715497256422972,13.064105616830108,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,31,29,0.5166666666666667,384.75468084382794,12.411441317542836,0.08776214319933437,9.6188670210957,0.20416889329858076,9.016668013287275,387.03984784714976,34824,780,86,384203100,385698800,421875000,nan,nan,nan,91,7969,0
asymmetry,409676424,60,60,13,40,0.2,0.2,0.26759944813918973,symmetric,uniform,moderate,none,0,False,300.00000000000006,173.33564311722276,5.0,1.863306963770036,0.37266139275400717,2.350096659318688,12.166733570859481,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,34,26,0.5666666666666667,403.1178810846909,11.856408267196791,0.08383746686251094,10.077947027117272,0.17246038985407527,12.507203172234929,406.27868187774965,34824,780,86,992038600,993858600,1171875000,nan,nan,nan,94,8086,0
asymmetry,31328801,60,60,13,40,0.2,0.2,0.2823295133125115,symmetric,uniform,moderate,none,0,False,300.0,167.8984564974107,4.999999999999999,1.8348591152840084,0.36697182305680176,1.737163768453385,10.930973229366217,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,33,27,0.55,450.2330384621213,13.64342540794307,0.09647358624569383,11.255825961553032,0.19937597736180643,12.982064810538498,453.511554664756,34824,780,86,440517300,442568000,515625000,nan,nan,nan,93,8041,0
asymmetry,1868593193,60,60,13,40,0.2,0.2,0.28524339213845334,symmetric,uniform,moderate,none,0,False,299.99999999999994,166.83764621554633,5.000000000000001,1.7714430866467186,0.35428861732934364,1.4616809367483774,8.659680367946663,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,32,28,0.5333333333333333,486.7129303360657,15.209779073002053,0.10754937922868993,12.167823258401643,0.23221828050359739,11.582871115198849,489.6406481148654,34824,780,86,532266700,533965700,578125000,nan,nan,nan,92,8019,0
asymmetry,1129817405,60,60,13,40,0.2,0.2,0.2802648471224293,symmetric,uniform,moderate,none,0,False,300.0,168.65303015120836,5.0,1.6484121042232247,0.32968242084464494,2.070000479812405,8.618108785342333,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,32,28,0.5333333333333333,404.37984660520175,12.636870206412555,0.08935616615928564,10.109496165130043,0.17831749332887176,11.572681539998571,407.30501699020135,34824,780,86,704726000,706697200,843750000,nan,nan,nan,92,8010,0
asymmetry,1030683717,60,60,13,40,0.2,0.2,0.2936591521311357,symmetric,uniform,moderate,none,0,False,300.0,163.8006842927504,5.0,1.64722296698892,0.329444593397784,2.2812868420060526,9.992957509149031,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,31,29,0.5166666666666667,544.923897776909,17.578190250868033,0.12429657527376045,13.623097444422726,0.2866656396192472,9.416511924049939,547.3090257579215,34824,780,86,814130800,816095900,953125000,nan,nan,nan,91,7966,0
asymmetry,388461522,60,60,13,40,0.2,0.2,0.2758491032843634,symmetric,uniform,moderate,none,0,False,300.0,170.27504934199965,5.0,2.022336486784168,0.4044672973568336,1.9665346501951178,11.178970690367276,0.08660254037844385,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,32,28,0.5333333333333333,369.7394031439817,11.554356348249428,0.08170163726093004,9.243485078599543,0.2048326757647317,14.834663730718555,373.4800690766613,34824,780,86,599149900,600803300,671875000,nan,nan,nan,92,8007,0
