arm,time_limit_seconds,N,M_median,K_median,runs,time_median_seconds,time_p05_seconds,time_p95_seconds,optimality_rate,censoring_rate,incumbent_rate,binary_variables_median,explicit_memory_mib_median
fixed_demand,5.0,120,120.0,40.0,3,5.033381,5.0308196899999995,5.03945492,0.0,1.0,1.0,4800.0,0.20264053344726562
fixed_demand,5.0,160,120.0,40.0,3,5.0311117,4.2093973,5.035196170000001,0.3333333333333333,0.6666666666666666,1.0,6400.0,0.2699317932128906
fixed_demand,5.0,220,120.0,40.0,3,5.0516633,5.04938504,5.053702250000001,0.0,1.0,1.0,8800.0,0.3708686828613281
fixed_demand,5.0,300,120.0,40.0,3,3.7480454,3.55364486,4.92235262,0.6666666666666666,0.3333333333333333,1.0,12000.0,0.5054512023925781
fixed_demand,5.0,400,120.0,40.0,3,5.0774806,4.70349442,5.128525,0.3333333333333333,0.6666666666666666,1.0,16000.0,0.6736793518066406
fixed_demand,5.0,550,120.0,40.0,3,5.1503423,5.1092924,5.1538343,0.0,1.0,1.0,22000.0,0.9260215759277344
fixed_demand,5.0,750,120.0,40.0,3,5.1783752,5.1671948599999995,5.314756699999999,0.0,1.0,1.0,30000.0,1.2624778747558594
fixed_demand,5.0,1000,120.0,40.0,3,5.3135938,5.30666803,5.4499470400000005,0.0,1.0,1.0,40000.0,1.6830482482910156
fixed_demand,5.0,1400,120.0,40.0,3,5.3667086,5.29557071,5.385210079999999,0.0,1.0,1.0,56000.0,2.3559608459472656
fixed_demand,5.0,1900,120.0,40.0,3,5.5687263,5.437677030000001,6.1302165,0.0,1.0,1.0,76000.0,3.197101593017578
fixed_demand,5.0,2600,120.0,40.0,3,5.8155933,5.656269,6.02802813,0.0,1.0,0.6666666666666666,104000.0,4.374698638916016
fixed_demand,5.0,3500,120.0,40.0,3,7.6033155,6.13657353,11.27371512,0.0,1.0,0.0,140000.0,5.888751983642578
fixed_demand,5.0,4800,120.0,40.0,3,16.5988887,10.88097621,24.65317725,0.0,1.0,0.0,192000.0,8.07571792602539
joint_growth,5.0,60,40.0,13.0,3,0.7748864,0.46714121,1.1204063899999999,1.0,0.0,1.0,780.0,0.03321075439453125
joint_growth,5.0,90,60.0,20.0,3,2.4895641,0.80239836,3.28675044,1.0,0.0,1.0,1800.0,0.07625961303710938
joint_growth,5.0,135,90.0,30.0,3,3.379374,2.00210805,4.864943970000001,0.6666666666666666,0.3333333333333333,1.0,4050.0,0.1710357666015625
joint_growth,5.0,195,130.0,43.0,3,5.0685903,5.05569717,5.06946933,0.0,1.0,1.0,8385.0,0.35341644287109375
joint_growth,5.0,285,190.0,63.0,3,5.1299313,5.11631223,5.181485909999999,0.0,1.0,1.0,17955.0,0.7557144165039062
joint_growth,5.0,420,280.0,93.0,3,5.3351737,5.27119153,5.35669882,0.0,1.0,1.0,39060.0,1.6424026489257812
joint_growth,5.0,630,420.0,140.0,3,5.5171544,5.50032332,7.3153998499999995,0.0,1.0,1.0,88200.0,3.706096649169922
joint_growth,5.0,930,620.0,207.0,3,7.9609183,7.24976674,8.38902328,0.0,1.0,0.0,192510.0,8.085540771484375
joint_growth,5.0,1350,900.0,300.0,3,29.4146606,29.312525270000002,30.91301237,0.0,1.0,0.0,405000.0,17.005352020263672
joint_growth,5.0,1800,1200.0,400.0,3,76.6348393,75.43038901,76.94905963000001,0.0,1.0,0.0,720000.0,30.22690200805664
timeout_probe,2.0,400,120.0,40.0,3,2.1110443,2.1059057500000002,2.12504236,0.0,1.0,1.0,16000.0,0.6736793518066406
timeout_probe,2.0,800,120.0,40.0,3,2.1450446,2.14405865,2.18114702,0.0,1.0,1.0,32000.0,1.3465919494628906
timeout_probe,2.0,1600,120.0,40.0,3,2.3080355,2.30500412,2.47971113,0.0,1.0,1.0,64000.0,2.6924171447753906
timeout_probe,2.0,3200,120.0,40.0,3,3.9277093,3.47047915,6.9185475400000005,0.0,1.0,0.0,128000.0,5.384067535400391
timeout_probe,5.0,400,120.0,40.0,3,5.0640366,4.18782432,5.12307984,0.3333333333333333,0.6666666666666666,1.0,16000.0,0.6736793518066406
timeout_probe,5.0,800,120.0,40.0,3,5.2641468,5.20700274,5.49895806,0.0,1.0,1.0,32000.0,1.3465919494628906
timeout_probe,5.0,1600,120.0,40.0,3,5.2971579,5.261570730000001,5.311422540000001,0.0,1.0,1.0,64000.0,2.6924171447753906
timeout_probe,5.0,3200,120.0,40.0,3,6.5916515,5.80001843,9.79127795,0.0,1.0,0.0,128000.0,5.384067535400391
timeout_probe,20.0,400,120.0,40.0,3,11.1867661,5.0922640900000005,19.20293146,0.6666666666666666,0.3333333333333333,1.0,16000.0,0.6736793518066406
timeout_probe,20.0,800,120.0,40.0,3,7.5542394,7.542886350000001,11.85072717,1.0,0.0,1.0,32000.0,1.3465919494628906
timeout_probe,20.0,1600,120.0,40.0,3,20.3253622,15.76650076,20.37348808,0.3333333333333333,0.6666666666666666,1.0,64000.0,2.6924171447753906
timeout_probe,20.0,3200,120.0,40.0,3,21.2039213,20.69011463,22.07751584,0.0,1.0,1.0,128000.0,5.384067535400391
