experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,f286bbd48a96766d643d,2824079501,0,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.8936331187884399,1.577768254536525,True,True,0.0,False,41.1155,
heterogeneity,f286bbd48a96766d643d,2824079501,0,uniform,Aleatorio,low,Baja,0.15,0.12676831833138652,18,4,12,0.2,True,True,False,0.0,0.17986292199179843,1.0591279238449354,True,True,0.0,False,16.2973,
heterogeneity,f286bbd48a96766d643d,2824079501,0,uniform,Aleatorio,moderate,Moderada,0.35,0.30388692155922153,18,4,12,0.2,True,False,True,3.824245718818423,-3.123882747471434,1.0615987162025182,True,True,0.0,True,17.5532,
heterogeneity,f286bbd48a96766d643d,2824079501,0,uniform,Aleatorio,high,Alta,0.65,0.6198008133841775,18,4,12,0.2,True,False,True,8.621659404958887,-4.594424320212973,-0.8572846384767558,True,True,0.0,True,25.0217,
heterogeneity,f286bbd48a96766d643d,2824079501,0,uniform,Aleatorio,extreme,Extrema,1.0,1.2727772835406461,18,4,12,0.2,True,False,True,6.454760075841121,-5.72741809107212,1.2404974441531234,True,True,0.0,True,13.8891,
heterogeneity,b350b2ec870d66782d19,3322997224,1,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.6438069540399098,2.4419323106048854,True,True,0.0,False,1.6911,
heterogeneity,b350b2ec870d66782d19,3322997224,1,uniform,Aleatorio,low,Baja,0.15,0.14932611743020036,18,4,12,0.2,True,False,True,0.3789326455035287,-0.3789326455035287,2.0453547323413233,True,True,0.0,True,4.4499,
heterogeneity,b350b2ec870d66782d19,3322997224,1,uniform,Aleatorio,moderate,Moderada,0.35,0.3929235219071641,18,4,12,0.2,True,False,True,2.5457692034722417,-1.8946511785897453,0.33981671956297976,True,True,0.0,True,27.4245,
heterogeneity,b350b2ec870d66782d19,3322997224,1,uniform,Aleatorio,high,Alta,0.65,0.5397148262157627,18,4,12,0.2,True,False,True,1.6858520690009526,-1.1811900649540608,3.9669773801973256,True,True,0.0,True,11.5169,
heterogeneity,b350b2ec870d66782d19,3322997224,1,uniform,Aleatorio,extreme,Extrema,1.0,1.0461301981763105,18,4,12,0.2,True,False,True,4.836272422415979,-4.836272422415979,6.773603807881978,True,True,0.0,True,5.4144,
