slot_to_robot_ratio,N,M,n_worlds,solver_ms_median,solver_ms_p05,solver_ms_p95,total_ms_median,matrix_mib_median,mission_feasible_rate
0.25,32,8,30,0.008150000000000001,0.005645,0.014394999999999998,0.8703,0.001953125,1.0
0.25,64,16,30,0.021150000000000002,0.014475,0.03162999999999999,1.5766,0.0078125,1.0
0.25,128,32,30,0.0431,0.03367,0.07099999999999998,2.63155,0.03125,1.0
0.25,256,64,30,0.21739999999999998,0.1414,0.3510049999999999,5.9847,0.125,1.0
0.25,512,128,30,0.9088499999999999,0.5937600000000001,1.3312249999999997,16.63375,0.5,1.0
0.25,1024,256,30,3.7056,2.634845,4.588585,37.510850000000005,2.0,1.0
0.25,2048,512,30,20.527099999999997,15.94586,25.81442,93.1976,8.0,1.0
0.5,32,16,30,0.0135,0.008295,0.021429999999999998,0.7724,0.00390625,1.0
0.5,64,32,30,0.039400000000000004,0.02818,0.06455999999999999,1.7933,0.015625,1.0
0.5,128,64,30,0.1256,0.08828,0.20995999999999998,2.6333,0.0625,1.0
0.5,256,128,30,0.6569,0.4104,0.952575,8.8022,0.25,1.0
0.5,512,256,30,2.7901,1.70717,3.5546299999999995,23.588,1.0,1.0
0.5,1024,512,30,9.33705,7.011595000000001,12.07181,45.6279,4.0,1.0
0.5,2048,1024,30,63.4067,50.366555,71.70982,188.2371,16.0,1.0
1.0,32,32,30,0.02765,0.016944999999999998,0.04254999999999999,0.7307,0.0078125,1.0
1.0,64,64,30,0.09145,0.06547,0.13638999999999998,1.23115,0.03125,1.0
1.0,128,128,30,0.47075,0.294285,0.662045,4.56095,0.125,1.0
1.0,256,256,30,2.75815,1.80404,4.129924999999999,12.00045,0.5,1.0
1.0,512,512,30,15.08025,9.650865000000001,19.48755,39.2488,2.0,1.0
1.0,1024,1024,30,78.87,60.64514,122.21108999999998,144.2807,8.0,1.0
1.0,2048,2048,30,540.3256,345.20119,745.9185049999996,758.5491,32.0,1.0
