experiment,world_id,world_seed,treatment_seed,replicate,N_original,N_active,K,M,reserve_delta,failure_fraction_nominal,failure_fraction_realized,failure_count,recovery_feasible,theoretical_recoverable,theory_agreement,assignment_churn,relative_cost_increase,solver_ms,total_ms
failure,48070f4c6dbf68294c20,62496129,380534864,0,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0359,1.228
failure,48070f4c6dbf68294c20,62496129,673954352,0,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.0336,1.1229
failure,48070f4c6dbf68294c20,62496129,3193005863,0,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.25,,0.0287,1.0932
failure,48070f4c6dbf68294c20,62496129,3729938974,0,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.21875,,0.0153,0.968
failure,48070f4c6dbf68294c20,62496129,2705097637,0,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.39285714285714285,,0.0143,0.8496
failure,a0ce29a07f71a934216c,3273811226,3559839711,1,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0439,1.1657
failure,a0ce29a07f71a934216c,3273811226,2566947931,1,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.18421052631578946,,0.042,1.1133
failure,a0ce29a07f71a934216c,3273811226,3103162423,1,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0362,1.0842
failure,a0ce29a07f71a934216c,3273811226,320986553,1,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.25,,0.0237,0.9647
failure,a0ce29a07f71a934216c,3273811226,710450153,1,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.42857142857142855,,0.0203,0.8647
failure,fe45b16a6ec44e4d2964,3542057668,678250257,2,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0472,1.3174
failure,fe45b16a6ec44e4d2964,3542057668,3424687051,2,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0509,1.3367
failure,fe45b16a6ec44e4d2964,3542057668,1574597455,2,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.25,,0.0369,1.2781
failure,fe45b16a6ec44e4d2964,3542057668,3309672095,2,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.46875,,0.0217,1.124
failure,fe45b16a6ec44e4d2964,3542057668,3095536957,2,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0132,0.9203
failure,6ffbf0d27ed5c4ac9ce6,4222790169,2879534299,3,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.039,1.2418
