experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,hungarian_relative_deficit,cardinality_certificate,false_feasible_permuted_order,cross_load_cost_ties,capacity_spread,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_repairs_false_feasible,milp_repairs_false_feasible_certified,milp_solver_ms,milp_error
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,2.0484041632248164,2.780877037663949,0.0,True,False,0,1.0,True,True,0.0,False,False,9.7334,
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,moderate,Moderada,0.35,0.3597076262516813,18,4,12,0.2,True,True,False,0.0,0.2999549740834606,3.133521870131993,0.0,False,False,0,4.444624579600622,True,True,0.0,False,False,19.8127,
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,extreme,Extrema,1.0,0.6200112162179658,18,4,12,0.2,True,False,True,10.404252321571235,-6.4477953306017675,-0.6379922355516077,0.3855941465695491,False,True,0,9.342502227882484,True,True,0.0,True,True,14.4911,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.6117676278762438,3.014889894445271,0.0,True,False,0,1.0,True,True,0.0,False,False,2.6982,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,moderate,Moderada,0.35,0.41224658020390004,18,4,12,0.2,True,False,True,4.66401306483187,-4.1187159444528305,1.4848820139989976,0.14014847481468956,False,True,0,3.899325808990037,True,True,0.0,True,True,13.0002,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,extreme,Extrema,1.0,0.7581441584029415,18,4,12,0.2,True,True,False,0.0,1.8644364668670317,5.644512192214787,0.0,False,False,0,9.986846795862569,True,True,0.0,False,False,11.2831,
heterogeneity,d1d782afad7ba909c886,1082307734,0,ring,Anillo,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.5358949830586681,2.5584880952994293,0.0,True,False,0,1.0,True,True,0.0,False,False,2.0448,
heterogeneity,d1d782afad7ba909c886,1082307734,0,ring,Anillo,moderate,Moderada,0.35,0.23631134346006827,18,4,12,0.2,True,True,False,0.0,0.6775170725386772,2.632743020230052,0.0,False,False,0,2.456646828891838,True,True,0.0,False,False,29.6216,
heterogeneity,d1d782afad7ba909c886,1082307734,0,ring,Anillo,extreme,Extrema,1.0,0.8026060433645723,18,4,12,0.2,True,False,True,2.753710029696844,-2.753710029696844,5.4973153918160165,0.2909635961105179,False,True,0,24.97974375754462,True,True,0.0,True,True,19.2445,
heterogeneity,82ff453640f52647f991,2112511487,1,ring,Anillo,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,1.2455202071309195,2.295919960067242,0.0,True,False,0,1.0,True,True,0.0,False,False,1.8547,
heterogeneity,82ff453640f52647f991,2112511487,1,ring,Anillo,moderate,Moderada,0.35,0.36717394681905147,18,4,12,0.2,True,False,True,1.751653416724439,-1.751653416724439,1.9803679892363388,0.15512981000130577,False,True,0,3.7902462665588597,True,True,0.0,True,True,33.3222,
heterogeneity,82ff453640f52647f991,2112511487,1,ring,Anillo,extreme,Extrema,1.0,1.2139794194315103,18,4,12,0.2,True,False,True,8.111496610439989,-5.872556800031935,2.3405171788181374,0.5200849733815496,False,True,0,165.5722580243598,True,True,0.0,True,True,41.8957,
