experiment,world_id,world_seed,replicate,scenario,scenario_label,quota_mode,N,K,M,reserve_delta,mission_feasible,constraint_violations,hungarian_cost,greedy_cost,greedy_to_hungarian_ratio,relative_saving,greedy_cost_shuffled_order,relative_saving_shuffled_order,normalized_assignment_cost_p95,assignment_cost_gini,solver_ms,total_ms
quality,84b7436f3464216a6980,3398397015,0,uniform,Aleatorio,moderate,18,4,12,0.2,True,0,297.73351299350975,330.24280706517783,1.1091892335021645,0.09844058182697053,314.3097212386665,0.05273845231331502,0.42022462575982983,0.3885021906114712,0.0167,0.3884
quality,0ea0917dadf9ec34870a,3744828683,1,uniform,Aleatorio,moderate,18,4,12,0.2,True,0,323.0122250561164,326.2625477940233,1.010062537841539,0.009962291902283902,367.2401007875782,0.12043313253811695,0.30365157049166464,0.2838857878101757,0.0088,0.3102
quality,724028ffe9862afca8f6,3883007490,0,clustered,Agrupado,moderate,18,4,12,0.2,True,0,315.63043879076173,347.28619628275015,1.1002937410386255,0.09115178728904975,334.4141564007829,0.05616902649153871,0.3376157511889787,0.334569265986854,0.008,0.2993
quality,29778fbdc5b7d8f3b8bb,612154159,1,clustered,Agrupado,moderate,18,4,12,0.2,True,0,306.343838311166,324.7475002481244,1.0600751823128398,0.05667068083017436,327.00644473711935,0.06318715352097735,0.3111255457213755,0.308681714143783,0.008,0.2923
quality,f12c020adf3f2f7b6524,2773409844,0,separated,Separado,moderate,18,4,12,0.2,True,0,683.511373711721,695.8463432828768,1.018046473029662,0.017726570945191134,694.5039424145798,0.015827942840239223,0.5404226191923804,0.14364919793608966,0.0082,0.2853
quality,bb673ad5b12b88e8740f,3739586415,1,separated,Separado,moderate,18,4,12,0.2,True,0,822.1702039420097,836.716929084548,1.0176930823724724,0.01738547964895833,840.9393543014965,0.02231926745190421,0.6463870874738485,0.14684964134614265,0.0087,0.2856
quality,0afe2bd09436ca844424,127801351,0,ring,Anillo,moderate,18,4,12,0.2,True,0,425.1893977422065,446.96260485869954,1.051208255032018,0.04871371090066094,432.72601088307385,0.017416593759841757,0.2995093982097339,0.059582720385014554,0.0088,0.2864
quality,326c6a069dab1d187e3b,2560498059,1,ring,Anillo,moderate,18,4,12,0.2,True,0,423.23333708223106,450.11717082656617,1.0635201232721225,0.05972630125388766,426.7619672374908,0.008268380095117716,0.3115943724620741,0.11821401653710661,0.0074,0.2848
quality,12e839f76a63df0238de,3508917092,0,corridor,Pasillo,moderate,18,4,12,0.2,True,0,178.8460124401779,239.52560134123593,1.3392839911449226,0.2533323726619599,252.56575544431448,0.2918833666680131,0.19901269006364003,0.3544987732061118,0.008,0.2873
quality,1543aa6fd3ac96e50e6e,4095410398,1,corridor,Pasillo,moderate,18,4,12,0.2,True,0,139.94497917748154,148.25275892837462,1.0593646145772544,0.056037943650727035,139.94497917748154,0.0,0.18458814835510873,0.3160670829791261,0.0063,0.2866
