world_key,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified
E2:uniform:p0.7:cv0.0:r0,OPTIMAL,318.3919128462368,318.3919128462368,0.0,0.01107200002297759,True,True
E2:uniform:p0.7:cv0.0:r1,OPTIMAL,429.42282360728655,429.4228236072865,0.0,0.002649799978826195,True,True
E2:uniform:p0.7:cv0.0:r2,OPTIMAL,372.8985510292392,372.8985510292392,0.0,0.0019257999956607819,True,True
E2:uniform:p0.7:cv0.0:r3,OPTIMAL,219.44550279059126,219.4455027905913,0.0,0.003479600010905415,True,True
E2:uniform:p0.7:cv0.0:r4,OPTIMAL,409.8866562514029,409.88665625140294,0.0,0.0038822999922558665,True,True
E2:uniform:p0.7:cv0.0:r5,OPTIMAL,332.4224622048835,332.4224622048835,0.0,0.0034079000470228493,True,True
E2:uniform:p0.7:cv0.0:r6,OPTIMAL,407.0679080363866,407.0679080363866,0.0,0.0034605999826453626,True,True
E2:uniform:p0.7:cv0.0:r7,OPTIMAL,475.43557380894583,475.43557380894583,0.0,0.003276799980085343,True,True
E2:uniform:p0.7:cv0.0:r8,OPTIMAL,470.70377422677996,470.7037742267799,0.0,0.0026475999620743096,True,True
E2:uniform:p0.7:cv0.0:r9,OPTIMAL,269.9470538934002,269.9470538934002,0.0,0.0030267999973148108,True,True
E2:uniform:p0.7:cv0.0:r10,OPTIMAL,332.2564892410286,332.25648924102853,0.0,0.002861900022253394,True,True
E2:uniform:p0.7:cv0.0:r11,OPTIMAL,337.36454676458004,337.3645467645801,0.0,0.0031967000104486942,True,True
E2:uniform:p0.7:cv0.0:r12,OPTIMAL,275.5097996889849,275.5097996889849,0.0,0.0031967000104486942,True,True
E2:uniform:p0.7:cv0.0:r13,OPTIMAL,248.74524832817008,248.74524832817008,0.0,0.003027500002644956,True,True
E2:uniform:p0.7:cv0.0:r14,OPTIMAL,409.5702048063722,409.5702048063722,0.0,0.0028304000152274966,True,True
E2:uniform:p0.7:cv0.0:r15,OPTIMAL,306.46909820936344,306.46909820936344,0.0,0.0027702999650500715,True,True
E2:uniform:p0.7:cv0.0:r16,OPTIMAL,460.0933406652414,460.09334066524144,0.0,0.0026358000468462706,True,True
E2:uniform:p0.7:cv0.0:r17,OPTIMAL,208.52034628586438,208.52034628586435,0.0,0.003093400038778782,True,True
E2:uniform:p0.7:cv0.0:r18,OPTIMAL,522.0757367103541,522.0757367103541,0.0,0.003195099998265505,True,True
E2:uniform:p0.7:cv0.0:r19,OPTIMAL,265.02393671607,265.02393671607,0.0,0.0021413000067695975,True,True
E2:uniform:p0.7:cv0.0:r20,OPTIMAL,287.60351274654715,287.60351274654715,0.0,0.002687400032300502,True,True
E2:uniform:p0.7:cv0.0:r21,OPTIMAL,211.3720419785019,211.3720419785019,0.0,0.002923399966675788,True,True
E2:uniform:p0.7:cv0.0:r22,OPTIMAL,281.62420418591654,281.62420418591654,0.0,0.002419200027361512,True,True
E2:uniform:p0.7:cv0.0:r23,OPTIMAL,298.5355750104807,298.5355750104807,0.0,0.002918000041972846,True,True
E2:uniform:p0.7:cv0.0:r24,OPTIMAL,301.37317826626713,301.37317826626713,0.0,0.0021013999939896166,True,True
E2:uniform:p0.7:cv0.0:r25,OPTIMAL,489.633042995558,489.633042995558,0.0,0.003179199993610382,True,True
E2:uniform:p0.7:cv0.0:r26,OPTIMAL,393.6129970501888,393.6129970501888,0.0,0.002927000052295625,True,True
E2:uniform:p0.7:cv0.0:r27,OPTIMAL,282.170465191968,282.170465191968,0.0,0.0029924000264145434,True,True
E2:uniform:p0.7:cv0.0:r28,OPTIMAL,318.57575737691235,318.57575737691235,0.0,0.0037720000254921615,True,True
E2:uniform:p0.7:cv0.0:r29,OPTIMAL,450.5223148451345,450.5223148451344,0.0,0.0031891000107862055,True,True
E2:uniform:p0.85:cv0.0:r0,INFEASIBLE,,,0.0,0.0037181000225245953,False,False
E2:uniform:p0.85:cv0.0:r1,OPTIMAL,470.8505296825839,470.85052968258384,0.0,0.002649800037033856,True,True
E2:uniform:p0.85:cv0.0:r2,OPTIMAL,373.53239373669265,373.53239373669265,0.0,0.002584400004707277,True,True
E2:uniform:p0.85:cv0.0:r3,OPTIMAL,369.9635212918649,369.9635212918649,0.0,0.0035662000300362706,True,True
E2:uniform:p0.85:cv0.0:r4,OPTIMAL,579.5766764495675,579.5766764495675,0.0,0.0026870000292547047,True,True
E2:uniform:p0.85:cv0.0:r5,OPTIMAL,475.07680105738496,475.07680105738496,0.0,0.003304300014860928,True,True
E2:uniform:p0.85:cv0.0:r6,OPTIMAL,451.9599367873857,451.9599367873857,0.0,0.0017507000011391938,True,True
E2:uniform:p0.85:cv0.0:r7,OPTIMAL,476.28719927049207,476.28719927049207,0.0,0.0022723000147379935,True,True
E2:uniform:p0.85:cv0.0:r8,INFEASIBLE,,,0.0,0.00168449996272102,False,False
E2:uniform:p0.85:cv0.0:r9,OPTIMAL,637.2291667891095,637.2291667891095,0.0,0.0020900999661535025,True,True
E2:uniform:p0.85:cv0.0:r10,INFEASIBLE,,,0.0,0.002435999980662018,False,False
E2:uniform:p0.85:cv0.0:r11,INFEASIBLE,,,0.0,0.0030319999787025154,False,False
E2:uniform:p0.85:cv0.0:r12,OPTIMAL,474.9673406986673,474.9673406986673,0.0,0.003463700006250292,True,True
E2:uniform:p0.85:cv0.0:r13,OPTIMAL,650.1338387085871,650.1338387085871,0.0,0.002933399984613061,True,True
E2:uniform:p0.85:cv0.0:r14,OPTIMAL,412.38326059219366,412.38326059219366,0.0,0.002743499993812293,True,True
E2:uniform:p0.85:cv0.0:r15,INFEASIBLE,,,0.0,0.0028314999653957784,False,False
E2:uniform:p0.85:cv0.0:r16,OPTIMAL,712.8341517243472,712.8341517243471,0.0,0.0018649000558070838,True,True
E2:uniform:p0.85:cv0.0:r17,OPTIMAL,449.2174991074794,449.2174991074794,0.0,0.0023369999835267663,True,True
E2:uniform:p0.85:cv0.0:r18,INFEASIBLE,,,0.0,0.0024214000441133976,False,False
E2:uniform:p0.85:cv0.0:r19,OPTIMAL,509.6195484186261,509.6195484186261,0.0,0.002744500001426786,True,True
E2:uniform:p0.85:cv0.0:r20,INFEASIBLE,,,0.0,0.0016159999649971724,False,False
E2:uniform:p0.85:cv0.0:r21,OPTIMAL,493.8039149978793,493.8039149978793,0.0,0.0030854999786242843,True,True
E2:uniform:p0.85:cv0.0:r22,INFEASIBLE,,,0.0,0.002908799971919507,False,False
E2:uniform:p0.85:cv0.0:r23,INFEASIBLE,,,0.0,0.0026508999872021377,False,False
E2:uniform:p0.85:cv0.0:r24,INFEASIBLE,,,0.0,0.0024795999634079635,False,False
E2:uniform:p0.85:cv0.0:r25,OPTIMAL,374.26682364903627,374.26682364903627,0.0,0.0024209999828599393,True,True
E2:uniform:p0.85:cv0.0:r26,OPTIMAL,634.0757547983313,634.0757547983313,0.0,0.00208760000532493,True,True
E2:uniform:p0.85:cv0.0:r27,OPTIMAL,464.17342895120066,464.17342895120066,0.0,0.0033242999925278127,True,True
E2:uniform:p0.85:cv0.0:r28,OPTIMAL,440.6024934990014,440.6024934990014,0.0,0.0019792999955825508,True,True
E2:uniform:p0.85:cv0.0:r29,OPTIMAL,631.6553495725288,631.6553495725288,0.0,0.002144999976735562,True,True
E2:uniform:p0.7:cv0.35:r0,OPTIMAL,284.545962594255,284.54596259425495,0.0,0.018556699971668422,True,True
E2:uniform:p0.7:cv0.35:r1,OPTIMAL,314.63574588477627,314.6357458847762,0.0,0.01913800003239885,True,True
E2:uniform:p0.7:cv0.35:r2,OPTIMAL,286.3845431622959,286.3845431622959,0.0,0.028225500020198524,True,True
E2:uniform:p0.7:cv0.35:r3,OPTIMAL,175.58098904163168,175.58098904163168,0.0,0.00970900000538677,True,True
E2:uniform:p0.7:cv0.35:r4,OPTIMAL,287.8289867518437,287.82898675184373,0.0,0.030611200025305152,True,True
E2:uniform:p0.7:cv0.35:r5,OPTIMAL,308.8163222735101,308.8163222735101,0.0,0.013234200014267117,True,True
E2:uniform:p0.7:cv0.35:r6,OPTIMAL,326.81714733289107,326.81714733289107,0.0,0.02876059996197,True,True
E2:uniform:p0.7:cv0.35:r7,OPTIMAL,387.1686626982041,387.1686626982041,0.0,0.04615830001421273,True,True
E2:uniform:p0.7:cv0.35:r8,OPTIMAL,440.0462737615876,440.04627376158766,0.0,0.047960299998521805,True,True
E2:uniform:p0.7:cv0.35:r9,OPTIMAL,199.9088593263156,199.9088593263156,0.0,0.042061900021508336,True,True
E2:uniform:p0.7:cv0.35:r10,OPTIMAL,249.86757147568522,249.86757147568522,0.0,0.009264599997550249,True,True
E2:uniform:p0.7:cv0.35:r11,OPTIMAL,315.9518837648526,315.95188376485254,0.0,0.0773802999756299,True,True
E2:uniform:p0.7:cv0.35:r12,OPTIMAL,184.86732993404496,184.86732993404493,0.0,0.007381999981589615,True,True
E2:uniform:p0.7:cv0.35:r13,OPTIMAL,212.00607256066138,212.00607256066138,0.0,0.013334700022824109,True,True
E2:uniform:p0.7:cv0.35:r14,OPTIMAL,340.3903526214135,340.3903526214135,0.0,0.051404900033958256,True,True
E2:uniform:p0.7:cv0.35:r15,OPTIMAL,277.11522205175305,277.11522205175305,0.0,0.03652159997727722,True,True
E2:uniform:p0.7:cv0.35:r16,OPTIMAL,373.1850809902933,373.1850809902932,0.0,0.01696159999119118,True,True
E2:uniform:p0.7:cv0.35:r17,OPTIMAL,192.5766659886325,192.57666598863247,0.0,0.006473599991295487,True,True
E2:uniform:p0.7:cv0.35:r18,OPTIMAL,392.27219048730376,392.2721904873038,0.0,0.03562189999502152,True,True
E2:uniform:p0.7:cv0.35:r19,OPTIMAL,225.19008042193133,225.19008042193136,0.0,0.02377799997339025,True,True
E2:uniform:p0.7:cv0.35:r20,OPTIMAL,258.22289291113395,258.2228929111339,0.0,0.026210900046862662,True,True
E2:uniform:p0.7:cv0.35:r21,OPTIMAL,210.94940874826153,210.94940874826156,0.0,0.0685199000290595,True,True
E2:uniform:p0.7:cv0.35:r22,OPTIMAL,260.3393052336416,260.3393052336416,0.0,0.017576700018253177,True,True
E2:uniform:p0.7:cv0.35:r23,OPTIMAL,248.06765272769707,248.06765272769704,0.0,0.01152379997074604,True,True
E2:uniform:p0.7:cv0.35:r24,OPTIMAL,217.37764777350142,217.37764777350142,0.0,0.019234600011259317,True,True
E2:uniform:p0.7:cv0.35:r25,OPTIMAL,320.3992318881453,320.39923188814527,0.0,0.0644363000174053,True,True
E2:uniform:p0.7:cv0.35:r26,OPTIMAL,259.048933061635,259.04893306163507,0.0,0.007256800017785281,True,True
E2:uniform:p0.7:cv0.35:r27,OPTIMAL,248.78817524502136,248.78817524502136,0.0,0.012777100026141852,True,True
E2:uniform:p0.7:cv0.35:r28,OPTIMAL,299.63142951155436,299.63142951155436,0.0,0.08125610003480688,True,True
E2:uniform:p0.7:cv0.35:r29,OPTIMAL,407.39874327643383,407.39874327643383,0.0,0.3161963000311516,True,True
E2:uniform:p0.85:cv0.35:r0,OPTIMAL,392.7514503149972,392.75145031499727,0.0,0.4868661999935284,True,True
E2:uniform:p0.85:cv0.35:r1,OPTIMAL,358.26221816787245,358.2622181678724,0.0,0.14698279998265207,True,True
E2:uniform:p0.85:cv0.35:r2,OPTIMAL,346.3537942468869,346.3537942468868,0.0,0.010058799991384149,True,True
E2:uniform:p0.85:cv0.35:r3,OPTIMAL,339.5196391058243,339.51963910582424,0.0,0.056816800031811,True,True
E2:uniform:p0.85:cv0.35:r4,OPTIMAL,476.6417067028499,476.6417067028499,0.0,0.04191779997199774,True,True
E2:uniform:p0.85:cv0.35:r5,OPTIMAL,484.0881590500266,484.08815905002655,0.0,0.023909699986688793,True,True
E2:uniform:p0.85:cv0.35:r6,OPTIMAL,378.49745892180715,378.4974589218072,0.0,0.021957999968435615,True,True
E2:uniform:p0.85:cv0.35:r7,OPTIMAL,406.4474259392615,406.44742593926156,0.0,0.08050750003894791,True,True
E2:uniform:p0.85:cv0.35:r8,OPTIMAL,333.8091514826969,333.80915148269685,0.0,0.02156329998979345,True,True
E2:uniform:p0.85:cv0.35:r9,OPTIMAL,502.5865876024346,502.5865876024346,0.0,0.25859549996675923,True,True
