world_id,scenario,capacity_cv,pressure,replicate,world_seed,world_digest
n3b-uniform-cv0.00-p0.85-r00,uniform,0.0,0.85,0,37715312688326,8cd3321f733acba489c730dd747809d07804e400917c60666252804b77d34f14
n3b-uniform-cv0.00-p0.85-r01,uniform,0.0,0.85,1,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a
n3b-uniform-cv0.00-p0.85-r02,uniform,0.0,0.85,2,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50
n3b-uniform-cv0.00-p0.85-r03,uniform,0.0,0.85,3,114451824434245,cf635fe420e9e6d2bdfc5628b18688ff2f6374dadc9124fa13c6019f4cbe3540
n3b-uniform-cv0.00-p0.85-r04,uniform,0.0,0.85,4,106316494024344,1b0bcdbee5ae823a52955d56942ed6601c7b27035005993d1493ec56bec028ca
n3b-uniform-cv0.00-p0.85-r05,uniform,0.0,0.85,5,72908685934297,7c7f8551b6e2bf00c6d7ac848df66256b8a8ee2be3b9229dd5cc41f6ceea828f
n3b-uniform-cv0.00-p0.85-r06,uniform,0.0,0.85,6,226748438408474,7f8ac69584e26a3e99ffca38323134198d6d46639214e410b1dda6e98e859bcf
n3b-uniform-cv0.00-p0.85-r07,uniform,0.0,0.85,7,59965359961435,5cccd5e20f98ec06b53800bf3ea44ef0257151eab221b8abe64b88fc8eb3182c
n3b-uniform-cv0.00-p0.85-r08,uniform,0.0,0.85,8,79255930487613,3bc99cb8abd99b7e42ccb80f10e2a17d7dcda1e7dfe9e5d483d4a69bb96ae662
n3b-uniform-cv0.00-p0.85-r09,uniform,0.0,0.85,9,131992583271591,2dc2f8056b69bfa9a270383d036aa3eeb1f7da310285b4b5ac24531bda04b6fe
n3b-uniform-cv0.00-p0.85-r10,uniform,0.0,0.85,10,187438815015873,54dd0e1781debcd6d669a924fbabcdbb07af24b4c66332a533992eaa504298f8
n3b-uniform-cv0.00-p0.85-r11,uniform,0.0,0.85,11,162129179255505,cff02a2c77db4afd5341a469ce018bde7faeca948e7c5c6ba508a83934e89043
n3b-uniform-cv0.00-p0.85-r12,uniform,0.0,0.85,12,147142116019896,828deea024b2714189c73446a0e70f48a38e4efc1808f03182411a570be9f487
n3b-uniform-cv0.00-p0.85-r13,uniform,0.0,0.85,13,126334123334579,18113e12729de3a56100d469a5b460a99b32c82abeb9364ffaeb750a9e467f3c
n3b-uniform-cv0.00-p0.85-r14,uniform,0.0,0.85,14,111714145064496,ee653b26ebeb71733927e836b835e28fd5bdf9ea21f9ad3b3c5245e935f40bfa
n3b-uniform-cv0.00-p0.85-r15,uniform,0.0,0.85,15,26439743209088,5f7722019a1fb00adfb3665dc861b34015b04498ac8b679667641d04f7463693
n3b-uniform-cv0.00-p0.85-r16,uniform,0.0,0.85,16,64228722792873,90c1324839287c488e72f0dca3e61a257f18f1341de64a2367c63a19c7e7e7df
n3b-uniform-cv0.00-p0.85-r17,uniform,0.0,0.85,17,124194262844494,055a2b7e0ab4133b154642acc855a8734e42f45cd2078e432dfe9984fee2a4de
n3b-uniform-cv0.35-p0.85-r00,uniform,0.35,0.85,0,100209331666504,afe530cad0e8a4188c0d00c4f5205e0c0c8ff6492ab045c435d556f616f49c5a
n3b-uniform-cv0.35-p0.85-r01,uniform,0.35,0.85,1,171137910436416,4371e5a108be22d9511140beba12c78b927c20757aba53089e9828713d54470b
