method,label,worlds,feasibility,feasibility_low,feasibility_high,gap_median,gap_low,gap_high,runtime_ms_median,bytes_per_agent_median,rounds_median
capacity_cbba_rb,CBBA-RB,1160,0.7896551724137931,0.7652650538103857,0.8121331776299422,0.42155372026764304,0.3892480867794226,0.45404494855145094,26.522800006205216,9187.5,25.0
weighted_grape,GRAPE,1160,0.996551724137931,0.9911672989922561,0.9986582406197345,0.2162060001487515,0.20000616460280382,0.23130429623778828,121.5364500094438,20607.5625,225.0
weighted_pair_grape,Pair-GRAPE,1160,1.0,0.9966993280815185,1.0,0.0965477680021034,0.08706768134266285,0.10719504225671764,293.11225000128616,25481.625,289.0
geo_qpg_u,Geo-QPG-BR,1160,0.9767241379310345,0.9663464399221847,0.9839548159900217,0.556636239103936,0.5297269188400546,0.5869129012255084,7.866999992984347,662.25,39.0
geo_qpg_smith,Geo-ASR (revisión Smith atómica),1160,0.9672413793103448,0.9553569334760583,0.9760414041449468,0.6838662873905901,0.6328076022766995,0.7491632764415723,7.975500004249625,658.125,48.0
geo_qpg_lll,Geo-LLL atómico,1160,0.9818965517241379,0.972482814535896,0.9881291240806019,0.6592916179067922,0.6236421808555609,0.6964055963921321,30.55534999293741,6084.0,155.0
geo_qpg_p,Geo-QPG-2BR,1160,0.9991379310344828,0.9951330735166485,0.9998478074474882,0.147734850593643,0.1376288076075309,0.1600820353685059,142.58549999794923,3323.625,281.0
geo_qpg_c3,Geo-QPG-C3,1160,1.0,0.9966993280815185,1.0,0.03233481051372575,0.02381244786531945,0.0382928881007378,250.483499999973,14164.0,845.0
geo_qpg_cf,Geo-QPG-CF (global),1160,1.0,0.9966993280815185,1.0,0.11563592953552826,0.1060579436059541,0.12340757792848654,185.15920000209007,4080.0,16.0
geo_qpg_d,Geo-QPG-DMIS+TX,1160,1.0,0.9966993280815185,1.0,0.1156359295355282,0.10605766201615106,0.1229504946405046,155.9211500134552,5355.25,16.0
