method,label,family,worlds,feasibility,gap_median,gap_low,gap_high,runtime_ms_median,bytes_per_agent_median,closure_operations_median,continuous_convergence,kkt_residual_median
capacity_cbba_rb,CBBA-RB,BASELINE,1160,0.7896551724137931,0.42155372026764304,0.3887060771525347,0.4518520585912466,26.522800006205216,9187.5,0.0,,
weighted_grape,GRAPE,BASELINE,1160,0.996551724137931,0.2162060001487515,0.19995033917132582,0.2313555604096392,121.5364500094438,20607.5625,0.0,,
weighted_pair_grape,Pair-GRAPE,BASELINE,1160,1.0,0.0965477680021034,0.08647609867383875,0.1067550262429656,293.11225000128616,25481.625,0.0,,
geo_qpg_c3,Geo-QPG C3,F-I,1160,1.0,0.03233481051372575,0.023706601076867298,0.0381398809848515,250.483499999973,14164.0,0.0,,
geo_qpg_d,Geo-QPG DMIS+TX,F-I,1160,1.0,0.1156359295355282,0.10630351435416405,0.1229504946405046,155.9211500134552,5355.25,0.0,,
geo_qpg_p,Geo-QPG 2BR,F-I,1160,0.9991379310344828,0.147734850593643,0.1374911913567881,0.1602513811154495,142.58549999794923,3323.625,0.0,,
geo_qpg_u,Geo-QPG BR,F-I,1160,0.9767241379310345,0.556636239103936,0.5297269188400546,0.5869129012255084,7.866999992984347,662.25,0.0,,
fii_bnn_R,BNN + R,F-II,1160,0.9612068965517241,0.1816921374126541,0.1677973540845183,0.1998235499741517,712.8401499940082,900000.0,2.0,0.0,
fii_logit_R,Logit + R,F-II,1160,0.968103448275862,0.2088069646318718,0.1926229876265726,0.2315713955429062,541.2596499954816,571815.0,3.0,0.8405172413793104,
fii_replicator_R,Replicator + R,F-II,1160,0.9620689655172414,0.21380093266995004,0.20050599955282056,0.233647357363579,597.6765000232263,900000.0,3.0,0.0,
fii_smith_R,Smith + R,F-II,1160,0.9663793103448276,0.1856686264366363,0.1713437913906634,0.2022543292221867,1355.531549997977,900000.0,2.0,0.0,
fiii_central_vgne_R,vGNE central + R,F-III,1160,0.9974137931034482,0.0909740800316304,0.0804965958090892,0.1002950410408821,89.81125001446344,0.0,1.0,0.9896551724137931,2.338848001981646e-05
fiii_distributed_vgne_R,PD-vGNE-seeking + $\mathcal{R}$,F-III,1160,0.9956896551724138,0.0904183091425018,0.079572341861286,0.0997603735011658,654.262900017784,2728530.0,1.0,0.9224137931034483,0.0004972152690208499
milp_highs,MILP/HiGHS,ORACLE,1160,1.0,0.0,0.0,0.0,28.24439998948945,0.0,0.0,,
