world_key,method,commit,deficit,distance,move_order,phase
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,0,68.00000000000001,0.0,0,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,1,66.5265602021235,54.2410145941937,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,2,65.9506101423385,62.38298575370196,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,3,63.17221221208882,80.33798927586302,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,4,62.52784077769878,110.85706987987308,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,5,52.912656713884324,157.12063621782613,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,6,36.8802837205134,230.4599005304148,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,7,23.471733754113927,304.1850044076304,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,8,19.232490308502694,313.5928107275534,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,9,17.703914464053344,348.13870597956725,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,10,9.343224752732208,365.67468957843016,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,11,8.558130107703128,413.7387327992053,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,12,4.695249007082243,452.8996142151984,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,13,3.142471099657282,480.76416399804486,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,14,1.4555419912650258,509.3750572466911,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,15,0.5209979582383149,556.1000937623055,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,16,0.0,588.984009190805,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,17,0.0,534.7429945966113,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,18,0.0,526.6010234371031,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,19,0.0,496.08194283309297,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,20,0.0,461.5360475810792,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,21,0.0,413.47200436030397,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,22,0.0,385.6074545774575,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_u,23,0.0,356.99656132881125,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,0,68.00000000000001,0.0,0,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,1,66.5265602021235,54.2410145941937,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,2,65.9506101423385,62.38298575370196,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,3,63.17221221208882,80.33798927586302,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,4,62.52784077769878,110.85706987987308,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,5,52.912656713884324,157.12063621782613,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,6,36.8802837205134,230.4599005304148,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,7,23.471733754113927,304.1850044076304,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,8,19.232490308502694,313.5928107275534,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,9,17.703914464053344,348.13870597956725,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,10,9.343224752732208,365.67468957843016,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,11,8.558130107703128,413.7387327992053,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,12,4.695249007082243,452.8996142151984,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,13,3.142471099657282,480.76416399804486,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,14,1.4555419912650258,509.3750572466911,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,15,0.5209979582383149,556.1000937623055,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,16,0.0,588.984009190805,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,17,0.0,534.7429945966113,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,18,0.0,526.6010234371031,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,19,0.0,496.08194283309297,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,20,0.0,461.5360475810792,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,21,0.0,413.47200436030397,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,22,0.0,385.6074545774575,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_p,23,0.0,356.99656132881125,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,0,68.00000000000001,0.0,0,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,1,66.5265602021235,54.2410145941937,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,2,65.9506101423385,62.38298575370196,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,3,63.17221221208882,80.33798927586302,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,4,62.52784077769878,110.85706987987308,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,5,52.912656713884324,157.12063621782613,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,6,36.8802837205134,230.4599005304148,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,7,23.471733754113927,304.1850044076304,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,8,19.232490308502694,313.5928107275534,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,9,17.703914464053344,348.13870597956725,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,10,9.343224752732208,365.67468957843016,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,11,8.558130107703128,413.7387327992053,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,12,4.695249007082243,452.8996142151984,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,13,3.142471099657282,480.76416399804486,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,14,1.4555419912650258,509.3750572466911,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,15,0.5209979582383149,556.1000937623055,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,16,0.0,588.984009190805,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,17,0.0,534.7429945966113,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,18,0.0,526.6010234371031,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,19,0.0,496.08194283309297,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,20,0.0,461.5360475810792,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,21,0.0,413.47200436030397,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,22,0.0,385.6074545774575,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,23,0.0,356.99656132881125,1,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,24,0.0,350.9152280720223,3,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_c3,25,0.0,332.9602245498612,3,G
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,0,68.00000000000001,0.0,0,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,1,67.42404994021501,8.141971159508262,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,2,51.39167694684408,81.48123547209693,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,3,37.54523560145834,110.52616135109714,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,4,25.553766307839865,121.8785245541501,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,5,21.314522862228635,131.28633087407312,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,6,18.590846915315318,154.09603250258294,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,7,8.975662851500863,222.5552430084171,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,8,6.197264921251179,264.24558848431616,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,9,4.454479358628344,297.1295039128156,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,10,3.0373986858473447,283.7829519350584,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,11,2.393027251457301,314.3020325390685,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,12,1.607932606428223,342.4640580554978,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,13,0.523449436057021,380.18093551875927,1,Q
E3:clustered:p0.85:cv1.0:r28,geo_qpg_d,14,0.24936794410098884,410.7980830761139,1,Q
