campaign_id,experiment,block,world_key,world_id,world_seed,scenario,N,K,robots_per_load,capacity_cv,realized_cv,pressure,graph_regime,graph_edges,graph_connected,br_status,br_phase,br_feasible,br_distance,br_deficit,br_rounds,br_bytes_per_agent,hstar_order,hstar_category,searched_through,phase,witness_robots,witness_old_actions,witness_new_actions,witness_delta_deficit,witness_delta_distance,search_runtime_ms,br_assignment,gap_br,gap_2br,gap_c3
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r20,clustered-p0.7-r20,1402622875,clustered,16,5,3.2,0.0,0.0,0.7,medium,86,True,LOCAL_MINIMUM,G,True,577.4650857820388,0.0,31,549.75,2.0,2,3,G,8;12,1;2,2;1,0.0,-52.98708322657586,12.73869999567978,4;2;3;4;0;-1;4;0;1;1;1;4;2;2;4;3,0.4463301957755404,1.4237112364665952e-16,0.0
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.35:r12,clustered-p0.7-r12,2441075953,clustered,16,5,3.2,0.35,0.266860292174767,0.7,medium,53,True,LOCAL_MINIMUM,G,True,472.86530949184595,0.0,34,642.75,2.0,2,3,G,1;3,3;-1,-1;3,0.0,-30.367582862722237,6.000699999276549,0;3;4;-1;-1;3;1;1;2;0;-1;4;3;-1;1;3,0.820615601586701,0.1759562859791838,8.75429118170906e-16
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.65:r4,clustered-p0.7-r4,630155675,clustered,16,5,3.2,0.65,0.441313357215357,0.7,medium,63,True,LOCAL_MINIMUM,G,True,409.53750588895736,0.0,37,722.25,2.0,2,3,G,0;14,0;4,4;0,0.0,-25.66521421549386,6.825000018579885,0;0;-1;-1;1;2;4;1;-1;-1;-1;1;2;4;4;3,0.5707353179567437,0.2452360074485565,-2.180165780036976e-16
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.85:cv0.65:r27,clustered-p0.85-r27,1378885857,clustered,16,5,3.2,0.65,0.44324141498578334,0.85,medium,46,True,LOCAL_MINIMUM,G,True,737.8519594177129,0.0,43,769.5,2.0,2,3,G,11;15,0;-1,-1;0,0.0,-37.317023470400905,5.598100018687546,-1;3;1;3;2;3;2;3;-1;0;2;0;3;1;4;-1,0.4351451535881197,0.2867526858521623,0.0226505243041972
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.85:cv1.0:r19,clustered-p0.85-r19,1674883341,clustered,16,5,3.2,1.0,0.6379886012433921,0.85,medium,70,True,LOCAL_MINIMUM,G,True,428.4861929488243,0.0,38,703.5,2.0,2,3,G,0;13,4;-1,-1;4,0.0,-19.458359194578776,10.066799994092435,4;3;4;1;1;4;3;0;0;1;2;1;1;-1;4;3,0.5535624636094789,0.3615122965372249,0.006739695197289
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:corridor:p0.7:cv0.35:r22,corridor-p0.7-r22,337308030,corridor,16,5,3.2,0.35,0.4519554176932341,0.7,medium,49,True,LOCAL_MINIMUM,G,True,289.85810914181116,0.0,29,510.75,2.0,2,3,G,2;6,-1;1,1;-1,0.0,-16.17765869970862,4.732400004286319,0;0;-1;-1;0;3;1;1;2;4;3;2;2;1;-1;3,0.4504711466154518,0.2030190587750612,0.0620443074559454
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:corridor:p0.7:cv0.65:r14,corridor-p0.7-r14,3431737394,corridor,16,5,3.2,0.65,0.4406567955598649,0.7,medium,33,True,LOCAL_MINIMUM,G,True,188.84216794765462,0.0,41,1044.75,2.0,2,3,G,2;12,4;-1,-1;4,0.0,-13.185131117147897,3.910100000211969,3;2;4;1;0;1;-1;0;-1;1;0;-1;-1;3;0;-1,0.3112788977828258,0.0928384403610723,0.0928384403610723
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:corridor:p0.7:cv1.0:r6,corridor-p0.7-r6,1788354354,corridor,16,5,3.2,1.0,0.8049427315493544,0.7,medium,45,True,LOCAL_MINIMUM,G,True,237.68578051259783,0.0,41,729.0,2.0,2,3,G,9;11,2;-1,-1;2,0.0,-5.572599841324635,6.075899989809841,1;3;-1;-1;3;2;-1;-1;4;2;2;-1;-1;0;2;2,0.7591851423380737,0.5307237915264467,0.0
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:corridor:p0.85:cv0.0:r0,corridor-p0.85-r0,1807440265,corridor,16,5,3.2,0.0,0.0,0.85,medium,46,True,LOCAL_MINIMUM,G,True,396.45813559594296,0.0,31,602.25,2.0,2,3,G,3;10,4;3,3;4,0.0,-35.61498409709681,5.096100008813664,0;0;4;4;3;0;1;4;3;2;3;3;0;4;2;-1,1.0838527560730222,0.7005398596392859,0.0
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:corridor:p0.85:cv1.0:r29,corridor-p0.85-r29,2181627251,corridor,16,5,3.2,1.0,0.9691345187435878,0.85,medium,55,True,LOCAL_MINIMUM,G,True,489.25695412511845,0.0,43,1092.0,2.0,2,3,G,0;1,-1;0,0;-1,0.0,-22.033127162358817,6.011899997247383,-1;0;2;3;1;0;2;3;2;2;4;3;-1;3;2;1,2.04527609160143,0.9373785676609446,0.6678980855163061
